Daily Mean data	    supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London N. Kensington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status,"PM10 particulate matter (Daily measured)",Status,"PM10 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"PM2.5 particulate matter (Daily measured)",Status,"Daily measured PM10 (uncorrected)",Status,"Daily measured PM10 (uncorrected)",Status,"Daily measured PM2.5 (uncorrected)",Status,"Daily measured PM2.5 (uncorrected)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2012-01-11,22,V ugm-3,11,V ugm-3,43,V ugm-3,61,V ugm-3,1,V ugm-3,0.26,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-12,28,V ugm-3,6,V ugm-3,35,V ugm-3,45,V ugm-3,0,V ugm-3,0.24,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-13,8,V ugm-3,50,V ugm-3,63,V ugm-3,140,V ugm-3,3,V ugm-3,0.43,V mgm-3,32,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-14,4,V ugm-3,146,V ugm-3,99,V ugm-3,323,V ugm-3,8,V ugm-3,0.81,V mgm-3,47,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-15,17,V ugm-3,20,V ugm-3,58,V ugm-3,88,V ugm-3,4,V ugm-3,0.44,V mgm-3,30,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-16,4,V ugm-3,86,V ugm-3,86,V ugm-3,218,V ugm-3,10,V ugm-3,0.62,V mgm-3,42,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-17,3,V ugm-3,115,V ugm-3,94,V ugm-3,269,V ugm-3,8,V ugm-3,0.75,V mgm-3,47,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-18,11,V ugm-3,8,V ugm-3,41,V ugm-3,54,V ugm-3,2,V ugm-3,0.37,V mgm-3,29,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-19,29,V ugm-3,5,V ugm-3,33,V ugm-3,42,V ugm-3,2,V ugm-3,0.28,V mgm-3,12,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-20,32,V ugm-3,5,V ugm-3,34,V ugm-3,42,V ugm-3,3,V ugm-3,0.3,V mgm-3,21,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-21,48,V ugm-3,3,V ugm-3,19,V ugm-3,23,V ugm-3,3,V ugm-3,0.33,V mgm-3,15,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-22,51,V ugm-3,3,V ugm-3,22,V ugm-3,27,V ugm-3,2,V ugm-3,0.26,V mgm-3,18,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-23,18,V ugm-3,17,V ugm-3,52,V ugm-3,78,V ugm-3,2,V ugm-3,0.32,V mgm-3,21,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-24,2,V ugm-3,54,V ugm-3,70,V ugm-3,154,V ugm-3,4,V ugm-3,0.6,V mgm-3,26,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-25,27,V ugm-3,7,V ugm-3,39,V ugm-3,50,V ugm-3,3,V ugm-3,0.45,V mgm-3,18,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-26,42,V ugm-3,5,V ugm-3,36,V ugm-3,44,V ugm-3,3,V ugm-3,0.35,V mgm-3,14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-27,23,V ugm-3,18,V ugm-3,51,V ugm-3,79,V ugm-3,3,V ugm-3,0.38,V mgm-3,20,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-28,18,V ugm-3,20,V ugm-3,46,V ugm-3,76,V ugm-3,3,V ugm-3,0.39,V mgm-3,23,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-29,18,V ugm-3,18,V ugm-3,48,V ugm-3,75,V ugm-3,2,V ugm-3,0.42,V mgm-3,30,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-30,15,V ugm-3,27,V ugm-3,54,V ugm-3,96,V ugm-3,3,V ugm-3,0.35,V mgm-3,34,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-01-31,13,V ugm-3,33,V ugm-3,59,V ugm-3,110,V ugm-3,2,V ugm-3,0.45,V mgm-3,57,V ugm-3 (TEOM FDMS),48,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),48,V ugm-3 (TEOM FDMS),42,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-02-01,40,V ugm-3,12,V ugm-3,38,V ugm-3,57,V ugm-3,3,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-02-02,44,V ugm-3,14,V ugm-3,39,V ugm-3,60,V ugm-3,3,V ugm-3,0.17,V mgm-3,21,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
2012-02-03,22,V ugm-3,38,V ugm-3,60,V ugm-3,117,V ugm-3,3,V ugm-3,0.3,V mgm-3,30,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data,,No data
