Daily Mean data	    supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Bloomsbury",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-01-14,1,V ugm-3,92,V ugm-3,78,V ugm-3,220,V ugm-3,8,V ugm-3,0.46,V mgm-3,32,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-15,10,V ugm-3,58,V ugm-3,63,V ugm-3,152,V ugm-3,6,V ugm-3,0.34,V mgm-3,22,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-16,2,V ugm-3,104,V ugm-3,79,V ugm-3,239,V ugm-3,12,V ugm-3,0.59,V mgm-3,36,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-17,1,V ugm-3,106,V ugm-3,81,V ugm-3,243,V ugm-3,9,V ugm-3,0.51,V mgm-3,38,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-18,7,V ugm-3,18,V ugm-3,49,V ugm-3,77,V ugm-3,3,V ugm-3,0.21,V mgm-3,26,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-19,21,V ugm-3,22,V ugm-3,54,V ugm-3,89,V ugm-3,4,V ugm-3,0.26,V mgm-3,11,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-01-20,18,V ugm-3,20,V ugm-3,62,V ugm-3,92,V ugm-3,6,V ugm-3,0.17,V mgm-3,15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-01-21,30,V ugm-3,19,V ugm-3,48,V ugm-3,77,V ugm-3,3,V ugm-3,0.23,V mgm-3,11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-01-22,28,V ugm-3,35,V ugm-3,53,V ugm-3,107,V ugm-3,4,V ugm-3,0.25,V mgm-3,12,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-23,12,V ugm-3,31,V ugm-3,78,V ugm-3,126,V ugm-3,6,V ugm-3,0.23,V mgm-3,14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-24,2,V ugm-3,49,V ugm-3,69,V ugm-3,144,V ugm-3,4,V ugm-3,0.3,V mgm-3,18,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-01-25,20,V ugm-3,12,V ugm-3,42,V ugm-3,60,V ugm-3,5,V ugm-3,0.24,V mgm-3,15,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-26,29,V ugm-3,12,V ugm-3,44,V ugm-3,61,V ugm-3,6,V ugm-3,0.23,V mgm-3,12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-01-27,19,V ugm-3,21,V ugm-3,51,V ugm-3,82,V ugm-3,7,V ugm-3,0.27,V mgm-3,14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS)
2012-01-28,7,V ugm-3,53,V ugm-3,55,V ugm-3,137,V ugm-3,5,V ugm-3,0.18,V mgm-3,21,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-01-29,8,V ugm-3,34,V ugm-3,48,V ugm-3,100,V ugm-3,5,V ugm-3,0.24,V mgm-3,27,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-30,7,V ugm-3,55,V ugm-3,60,V ugm-3,144,V ugm-3,4,V ugm-3,0.42,V mgm-3,36,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-31,6,V ugm-3,52,V ugm-3,59,V ugm-3,139,V ugm-3,7,V ugm-3,0.4,V mgm-3,56,V ugm-3 (TEOM FDMS),48,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),54,V ugm-3 (TEOM FDMS),46,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-02-01,23,V ugm-3,31,V ugm-3,55,V ugm-3,102,V ugm-3,4,V ugm-3,0.2,V mgm-3,31,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-02,26,V ugm-3,35,V ugm-3,58,V ugm-3,112,V ugm-3,3,V ugm-3,0.27,V mgm-3,19,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-02-03,9,V ugm-3,76,V ugm-3,74,V ugm-3,191,V ugm-3,5,V ugm-3,0.37,V mgm-3,25,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-04,8,V ugm-3,38,V ugm-3,64,V ugm-3,123,V ugm-3,7,V ugm-3,0.27,V mgm-3,35,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-02-05,6,V ugm-3,36,V ugm-3,59,V ugm-3,114,V ugm-3,4,V ugm-3,0.25,V mgm-3,20,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-02-06,1,V ugm-3,84,V ugm-3,77,V ugm-3,206,V ugm-3,8,V ugm-3,0.4,V mgm-3,41,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-02-07,7,V ugm-3,66,V ugm-3,73,V ugm-3,175,V ugm-3,9,V ugm-3,No data,V mgm-3,35,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-08,18,V ugm-3,41,V ugm-3,65,V ugm-3,127,V ugm-3,6,V ugm-3,0.28,V mgm-3,22,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-02-09,14,V ugm-3,53,V ugm-3,67,V ugm-3,149,V ugm-3,6,V ugm-3,0.36,V mgm-3,32,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-02-10,7,V ugm-3,55,V ugm-3,69,V ugm-3,153,V ugm-3,8,V ugm-3,0.31,V mgm-3,36,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS)
2012-02-11,5,V ugm-3,65,V ugm-3,83,V ugm-3,183,V ugm-3,4,V ugm-3,0.39,V mgm-3,53,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),52,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS)
2012-02-12,0,V ugm-3,96,V ugm-3,86,V ugm-3,233,V ugm-3,6,V ugm-3,0.51,V mgm-3,49,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),50,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS)
2012-02-13,4,V ugm-3,75,V ugm-3,78,V ugm-3,193,V ugm-3,7,V ugm-3,0.42,V mgm-3,22,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-02-14,16,V ugm-3,70,V ugm-3,74,V ugm-3,182,V ugm-3,7,V ugm-3,0.28,V mgm-3,19,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-02-15,15,V ugm-3,69,V ugm-3,75,V ugm-3,181,V ugm-3,5,V ugm-3,0.25,V mgm-3,15,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-02-16,14,V ugm-3,39,V ugm-3,78,V ugm-3,138,V ugm-3,5,V ugm-3,0.19,V mgm-3,17,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-02-17,11,V ugm-3,19,V ugm-3,62,V ugm-3,91,V ugm-3,7,V ugm-3,0.19,V mgm-3,18,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-02-18,41,V ugm-3,14,V ugm-3,44,V ugm-3,66,V ugm-3,6,V ugm-3,0.22,V mgm-3,9,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-02-19,20,V ugm-3,52,V ugm-3,72,V ugm-3,152,V ugm-3,7,V ugm-3,0.17,V mgm-3,12,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),1,V ugm-3 (TEOM FDMS)
2012-02-20,22,V ugm-3,21,V ugm-3,64,V ugm-3,96,V ugm-3,7,V ugm-3,0.23,V mgm-3,15,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-02-21,38,V ugm-3,6,V ugm-3,42,V ugm-3,52,V ugm-3,5,V ugm-3,0.24,V mgm-3,12,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),2,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-02-22,42,V ugm-3,5,V ugm-3,38,V ugm-3,45,V ugm-3,5,V ugm-3,0.23,V mgm-3,15,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-02-23,12,V ugm-3,22,V ugm-3,54,V ugm-3,88,V ugm-3,5,V ugm-3,0.28,V mgm-3,18,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-02-24,17,V ugm-3,20,V ugm-3,53,V ugm-3,84,V ugm-3,4,V ugm-3,0.25,V mgm-3,14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
