Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London Bloomsbury",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-01-14,8,V ugm-3,167,V ugm-3,98,V ugm-3,348,V ugm-3,13,V ugm-3,0.7,V mgm-3,44,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-01-15,32,V ugm-3,106,V ugm-3,86,V ugm-3,249,V ugm-3,8,V ugm-3,0.7,V mgm-3,37,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-16,8,V ugm-3,230,V ugm-3,107,V ugm-3,457,V ugm-3,37,V ugm-3,1.1,V mgm-3,45,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),36,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-01-17,4,V ugm-3,474,V ugm-3,174,V ugm-3,901,V ugm-3,27,V ugm-3,1.5,V mgm-3,64,V ugm-3 (TEOM FDMS),58,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),59,V ugm-3 (TEOM FDMS),52,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-01-18,22,V ugm-3,34,V ugm-3,69,V ugm-3,120,V ugm-3,3,V ugm-3,0.35,V mgm-3,43,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),43,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS)
2012-01-19,42,V ugm-3,87,V ugm-3,84,V ugm-3,218,V ugm-3,13,V ugm-3,0.35,V mgm-3,28,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-20,34,V ugm-3,64,V ugm-3,90,V ugm-3,180,V ugm-3,11,V ugm-3,0.35,V mgm-3,24,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-21,38,V ugm-3,65,V ugm-3,75,V ugm-3,174,V ugm-3,5,V ugm-3,0.23,V mgm-3,17,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-22,46,V ugm-3,105,V ugm-3,80,V ugm-3,241,V ugm-3,8,V ugm-3,0.35,V mgm-3,19,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2012-01-23,34,V ugm-3,61,V ugm-3,101,V ugm-3,189,V ugm-3,11,V ugm-3,0.35,V mgm-3,24,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
