Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London N. Kensington",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2013-04-06,102,V ugm-3,8,V ugm-3,103,V ugm-3,112,V ugm-3,1,V ugm-3,0.31,V mgm-3,27,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2013-04-07,103,V ugm-3,21,V ugm-3,100,V ugm-3,123,V ugm-3,2,V ugm-3,0.38,V mgm-3,37,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS)
2013-04-08,76,V ugm-3,23,V ugm-3,75,V ugm-3,106,V ugm-3,6,V ugm-3,0.26,V mgm-3,44,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS)
2013-04-09,52,V ugm-3,56,V ugm-3,86,V ugm-3,164,V ugm-3,4,V ugm-3,0.55,V mgm-3,59,V ugm-3 (TEOM FDMS),47,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),62,V ugm-3 (TEOM FDMS),46,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS)
2013-04-10,60,V ugm-3,39,V ugm-3,72,V ugm-3,129,V ugm-3,3,V ugm-3,0.38,V mgm-3,76,V ugm-3 (TEOM FDMS),63,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),79,V ugm-3 (TEOM FDMS),59,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS)
2013-04-11,60,V ugm-3,48,V ugm-3,98,V ugm-3,172,V ugm-3,4,V ugm-3,0.49,V mgm-3,39,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS)
2013-04-12,67,V ugm-3,12,V ugm-3,92,V ugm-3,111,V ugm-3,2,V ugm-3,0.4,V mgm-3,23,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-04-13,81,V ugm-3,13,V ugm-3,64,V ugm-3,84,V ugm-3,1,V ugm-3,0.22,V mgm-3,21,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-04-14,98,V ugm-3,3,V ugm-3,31,V ugm-3,32,V ugm-3,3,V ugm-3,0.16,V mgm-3,20,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-04-15,103,V ugm-3,5,V ugm-3,36,V ugm-3,43,V ugm-3,2,V ugm-3,0.19,V mgm-3,27,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-04-16,92,V ugm-3,5,V ugm-3,39,V ugm-3,40,V ugm-3,3,V ugm-3,0.19,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-04-17,86,V ugm-3,6,V ugm-3,44,V ugm-3,53,V ugm-3,3,V ugm-3,0.25,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-04-18,94,V ugm-3,5,V ugm-3,31,V ugm-3,33,V ugm-3,2,V ugm-3,0.16,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-04-19,75,V ugm-3,10,V ugm-3,90,V ugm-3,105,V ugm-3,1,V ugm-3,0.24,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-04-20,73,V ugm-3,17,V ugm-3,84,V ugm-3,110,V ugm-3,1,V ugm-3,0.26,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-04-21,90,V ugm-3,27,V ugm-3,80,V ugm-3,117,V ugm-3,4,V ugm-3,0.29,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-04-22,80,V ugm-3,8,V ugm-3,49,V ugm-3,61,V ugm-3,3,V ugm-3,0.19,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2013-04-23,73,V ugm-3,13,V ugm-3,66,V ugm-3,74,V ugm-3,2,V ugm-3,0.24,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-04-24,40,V ugm-3,16,V ugm-3,71,V ugm-3,83,V ugm-3,2,V ugm-3,0.28,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-04-25,109,V ugm-3,23,V ugm-3,47,V ugm-3,74,V ugm-3,3,V ugm-3,0.25,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2013-04-26,81,V ugm-3,13,V ugm-3,66,V ugm-3,73,V ugm-3,4,V ugm-3,0.24,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2013-04-27,86,V ugm-3,5,V ugm-3,49,V ugm-3,50,V ugm-3,2,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-04-28,86,V ugm-3,29,V ugm-3,72,V ugm-3,109,V ugm-3,3,V ugm-3,0.28,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2013-04-29,76,V ugm-3,33,V ugm-3,97,V ugm-3,141,V ugm-3,2,V ugm-3,0.28,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-04-30,70,V ugm-3,13,V ugm-3,51,V ugm-3,72,V ugm-3,3,V ugm-3,0.18,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-05-01,83,V ugm-3,22,V ugm-3,73,V ugm-3,84,V ugm-3,2,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-05-02,91,V ugm-3,15,V ugm-3,101,V ugm-3,118,V ugm-3,2,V ugm-3,0.25,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-05-03,88,V ugm-3,97,V ugm-3,105,V ugm-3,251,V ugm-3,6,V ugm-3,0.44,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2013-05-04,92,V ugm-3,3,V ugm-3,28,V ugm-3,28,V ugm-3,2,V ugm-3,0.17,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-05-05,66,V ugm-3,6,V ugm-3,38,V ugm-3,48,V ugm-3,4,V ugm-3,0.22,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-05-06,99,V ugm-3,17,V ugm-3,51,V ugm-3,78,V ugm-3,5,V ugm-3,0.26,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-05-07,70,V ugm-3,100,V ugm-3,129,V ugm-3,267,V ugm-3,9,V ugm-3,0.53,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),53,V ugm-3 (TEOM FDMS),39,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS)
2013-05-08,66,V ugm-3,11,V ugm-3,112,V ugm-3,121,V ugm-3,5,V ugm-3,0.3,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),62,V ugm-3 (TEOM FDMS),44,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS)
2013-05-09,79,V ugm-3,4,V ugm-3,26,V ugm-3,32,V ugm-3,2,V ugm-3,0.19,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-05-10,82,V ugm-3,3,V ugm-3,26,V ugm-3,29,V ugm-3,2,V ugm-3,0.17,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-05-11,83,V ugm-3,3,V ugm-3,39,V ugm-3,39,V ugm-3,2,V ugm-3,0.19,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-05-12,75,V ugm-3,3,V ugm-3,29,V ugm-3,30,V ugm-3,2,V ugm-3,0.19,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-05-13,85,V ugm-3,4,V ugm-3,31,V ugm-3,32,V ugm-3,2,V ugm-3,0.15,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-05-14,92,V ugm-3,7,V ugm-3,53,V ugm-3,60,V ugm-3,3,V ugm-3,0.25,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-05-15,85,V ugm-3,6,V ugm-3,49,V ugm-3,52,V ugm-3,3,V ugm-3,0.34,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-05-16,86,V ugm-3,51,V ugm-3,80,V ugm-3,140,V ugm-3,4,V ugm-3,0.42,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-05-17,71,V ugm-3,14,V ugm-3,55,V ugm-3,76,V ugm-3,2,V ugm-3,0.22,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-05-18,77,V ugm-3,13,V ugm-3,88,V ugm-3,108,V ugm-3,3,V ugm-3,0.35,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),31,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2013-05-19,93,V ugm-3,17,V ugm-3,89,V ugm-3,111,V ugm-3,2,V ugm-3,0.43,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS)
2013-05-20,No data,V ugm-3,11,V ugm-3,48,V ugm-3,64,V ugm-3,2,V ugm-3,0.28,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),47,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS)
2013-05-21,No data,V ugm-3,7,V ugm-3,51,V ugm-3,56,V ugm-3,2,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),28,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2013-05-22,No data,V ugm-3,11,V ugm-3,52,V ugm-3,66,V ugm-3,1,V ugm-3,0.26,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2013-05-23,No data,V ugm-3,6,V ugm-3,50,V ugm-3,55,V ugm-3,2,V ugm-3,0.2,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-05-24,No data,V ugm-3,15,V ugm-3,39,V ugm-3,62,V ugm-3,3,V ugm-3,0.21,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2013-05-25,83,V ugm-3,67,V ugm-3,96,V ugm-3,198,V ugm-3,No data,V ugm-3,0.54,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2013-05-26,110,V ugm-3,56,V ugm-3,86,V ugm-3,171,V ugm-3,No data,V ugm-3,0.52,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2013-05-27,115,V ugm-3,2,V ugm-3,41,V ugm-3,41,V ugm-3,No data,V ugm-3,0.19,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2013-05-28,85,V ugm-3,27,V ugm-3,86,V ugm-3,127,V ugm-3,No data,V ugm-3,0.34,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2013-05-29,51,V ugm-3,23,V ugm-3,51,V ugm-3,82,V ugm-3,No data,V ugm-3,0.3,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS)
2013-05-30,74,V ugm-3,7,V ugm-3,47,V ugm-3,54,V ugm-3,No data,V ugm-3,0.24,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-05-31,101,V ugm-3,6,V ugm-3,59,V ugm-3,61,V ugm-3,No data,V ugm-3,0.32,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),25,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2013-06-01,72,V ugm-3,8,V ugm-3,30,V ugm-3,35,V ugm-3,3,V ugm-3,0.26,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-06-02,94,V ugm-3,5,V ugm-3,63,V ugm-3,66,V ugm-3,3,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-06-03,68,V ugm-3,15,V ugm-3,66,V ugm-3,72,V ugm-3,2,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-06-04,77,V ugm-3,10,V ugm-3,26,V ugm-3,41,V ugm-3,2,V ugm-3,0.17,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-06-05,74,V ugm-3,10,V ugm-3,57,V ugm-3,65,V ugm-3,3,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-06-06,83,V ugm-3,15,V ugm-3,41,V ugm-3,55,V ugm-3,3,V ugm-3,0.23,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-06-07,58,V ugm-3,21,V ugm-3,46,V ugm-3,78,V ugm-3,2,V ugm-3,0.28,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-06-08,69,V ugm-3,6,V ugm-3,12,V ugm-3,18,V ugm-3,1,V ugm-3,0.14,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-06-09,59,V ugm-3,5,V ugm-3,24,V ugm-3,30,V ugm-3,2,V ugm-3,0.15,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-06-10,73,V ugm-3,10,V ugm-3,47,V ugm-3,57,V ugm-3,2,V ugm-3,0.21,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-06-11,69,V ugm-3,29,V ugm-3,66,V ugm-3,111,V ugm-3,4,V ugm-3,0.34,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-06-12,51,V ugm-3,5,V ugm-3,21,V ugm-3,29,V ugm-3,3,V ugm-3,0.27,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-06-13,57,V ugm-3,5,V ugm-3,24,V ugm-3,27,V ugm-3,2,V ugm-3,0.19,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-06-14,65,V ugm-3,9,V ugm-3,29,V ugm-3,43,V ugm-3,2,V ugm-3,0.22,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2013-06-15,64,V ugm-3,4,V ugm-3,14,V ugm-3,20,V ugm-3,2,V ugm-3,0.24,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-06-16,71,V ugm-3,18,V ugm-3,71,V ugm-3,92,V ugm-3,3,V ugm-3,0.3,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),15,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2013-06-17,78,V ugm-3,25,V ugm-3,58,V ugm-3,91,V ugm-3,5,V ugm-3,0.29,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),3,V ugm-3 (TEOM FDMS)
2013-06-18,57,V ugm-3,42,V ugm-3,67,V ugm-3,131,V ugm-3,4,V ugm-3,0.48,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),38,V ugm-3 (TEOM FDMS),32,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2013-06-19,91,V ugm-3,56,V ugm-3,54,V ugm-3,134,V ugm-3,4,V ugm-3,0.48,V mgm-3,No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),No data,V ugm-3 (TEOM FDMS),47,V ugm-3 (TEOM FDMS),40,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
