Daily Maximum data	   supplied by UK-air on 07/09/2018
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"London N. Kensington",,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2012-01-14,20,V ugm-3,427,V ugm-3,172,V ugm-3,820,V ugm-3,19,V ugm-3,1.9,V mgm-3,81,V ugm-3 (TEOM FDMS),72,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),59,V ugm-3 (TEOM FDMS),54,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS)
2012-01-15,48,V ugm-3,79,V ugm-3,88,V ugm-3,207,V ugm-3,5,V ugm-3,0.7,V mgm-3,40,V ugm-3 (TEOM FDMS),35,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),29,V ugm-3 (TEOM FDMS),23,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-16,12,V ugm-3,221,V ugm-3,147,V ugm-3,486,V ugm-3,27,V ugm-3,1.2,V mgm-3,56,V ugm-3 (TEOM FDMS),50,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS),37,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-17,8,V ugm-3,546,V ugm-3,207,V ugm-3,1044,V ugm-3,21,V ugm-3,2.2,V mgm-3,78,V ugm-3 (TEOM FDMS),68,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS),52,V ugm-3 (TEOM FDMS),47,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
2012-01-18,28,V ugm-3,19,V ugm-3,59,V ugm-3,88,V ugm-3,3,V ugm-3,0.47,V mgm-3,53,V ugm-3 (TEOM FDMS),41,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),44,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),11,V ugm-3 (TEOM FDMS)
2012-01-19,50,V ugm-3,21,V ugm-3,61,V ugm-3,88,V ugm-3,8,V ugm-3,0.47,V mgm-3,17,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-20,54,V ugm-3,12,V ugm-3,61,V ugm-3,80,V ugm-3,5,V ugm-3,0.58,V mgm-3,32,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-21,66,V ugm-3,6,V ugm-3,29,V ugm-3,36,V ugm-3,3,V ugm-3,0.81,V mgm-3,23,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),12,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-22,64,V ugm-3,9,V ugm-3,46,V ugm-3,54,V ugm-3,3,V ugm-3,0.35,V mgm-3,26,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),13,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-23,42,V ugm-3,45,V ugm-3,80,V ugm-3,149,V ugm-3,3,V ugm-3,0.47,V mgm-3,28,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),4,V ugm-3 (TEOM FDMS)
2012-01-24,6,V ugm-3,152,V ugm-3,99,V ugm-3,325,V ugm-3,8,V ugm-3,1.1,V mgm-3,38,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),24,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-25,46,V ugm-3,27,V ugm-3,78,V ugm-3,119,V ugm-3,3,V ugm-3,0.7,V mgm-3,30,V ugm-3 (TEOM FDMS),21,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),20,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS)
2012-01-26,74,V ugm-3,16,V ugm-3,77,V ugm-3,101,V ugm-3,3,V ugm-3,0.47,V mgm-3,22,V ugm-3 (TEOM FDMS),18,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),14,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),5,V ugm-3 (TEOM FDMS)
2012-01-27,48,V ugm-3,80,V ugm-3,82,V ugm-3,205,V ugm-3,11,V ugm-3,0.7,V mgm-3,36,V ugm-3 (TEOM FDMS),30,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS),17,V ugm-3 (TEOM FDMS),16,V ugm-3 (TEOM FDMS),6,V ugm-3 (TEOM FDMS)
2012-01-28,40,V ugm-3,30,V ugm-3,69,V ugm-3,115,V ugm-3,3,V ugm-3,0.47,V mgm-3,34,V ugm-3 (TEOM FDMS),26,V ugm-3 (TEOM FDMS),8,V ugm-3 (TEOM FDMS),22,V ugm-3 (TEOM FDMS),19,V ugm-3 (TEOM FDMS),7,V ugm-3 (TEOM FDMS)
2012-01-29,32,V ugm-3,29,V ugm-3,71,V ugm-3,103,V ugm-3,3,V ugm-3,0.47,V mgm-3,40,V ugm-3 (TEOM FDMS),33,V ugm-3 (TEOM FDMS),10,V ugm-3 (TEOM FDMS),34,V ugm-3 (TEOM FDMS),27,V ugm-3 (TEOM FDMS),9,V ugm-3 (TEOM FDMS)
