Site,Borough, Easting,Northing,GridRef,Lat,Lon
Westfield Ariel Way,H&F,523341.4,180409.54,TQ2334180409,51.509158,-0.22410296
Jubilee Plaza,Tower Hamlets,537521.43,180150.48,TQ3752180150,51.50356,-0.020000756
Montgomery Square,Tower Hamlets,537778.75,180143.39,TQ3777880143,51.503435,-0.016303037
South Quay East,Tower Hamlets,537786.52,179980.55,TQ3778679980,51.501968,-0.016251461
Lancaster Gate,Westminster,526433.73,180762.93,TQ2643380762,51.511647,-0.17944603
Old Montague Street,Tower Hamlets,534152.44,181659.08,TQ3415281659,51.51793,-0.067937359
Bury Place,Camden,530314.57,181504.68,TQ3031481504,51.517434,-0.12327711
Lancaster Drive,Tower Hamlets,538324.72,180127.42,TQ3832480127,51.503158,-0.008447703
Hollybush Gardens,Tower Hamlets,534873.27,182755.69,TQ3487382755,51.527607,-0.057133244
Globe Town Market,Tower Hamlets,535530.48,182915.55,TQ3553082915,51.528888,-0.04760666
Alpha Grove,Tower Hamlets,537346.34,179449.93,TQ3734679449,51.497304,-0.022793191
Churchill Place,Tower Hamlets,537904,180289,TQ3790480289,51.504716,-0.014431784
Westfield Eastern Access Road,H&F,523653.55,180415.12,TQ2365380415,51.509143,-0.21960741
Westfield Southern Terrace,H&F,523749.41,180096.17,TQ2374980096,51.506256,-0.21833665
St Mary and St Michael Church,Tower Hamlets,535262.51,181270.6,TQ3526281270,51.51417,-0.052098617
Rectory Square,Tower Hamlets,535854.65,181757.41,TQ3585481757,51.518404,-0.043384958
Hermitage Court,Tower Hamlets,534498.92,180197.88,TQ3449880197,51.50471,-0.063510939
Clarkson Street,Tower Hamlets,534734.49,182872.34,TQ3473482872,51.528692,-0.059091045
Moorfields (Ext),City,532735.3,181747.64,TQ3273581747,51.519055,-0.088314358
Lightermans Road,Tower Hamlets,537518.87,179646.74,TQ3751879646,51.499032,-0.020240246
Old Brompton Road (Ext),K&C,526368.14,178457.12,TQ2636878457,51.490947,-0.1812071
East India DLR,Tower Hamlets,538731.14,180844.08,TQ3873180844,51.509501,-0.002305757
Pitfield Street Central,Hackney,533059.93,183221.96,TQ3305983221,51.532225,-0.083091191
Ladbroke Grove (Central),K&C,524596.35,180714.03,TQ2459680714,51.511624,-0.20592077
Selby Street,Tower Hamlets,534442.92,182109.62,TQ3444282109,51.521905,-0.063588796
Preston's Road,Tower Hamlets,538282.4,179705.29,TQ3828279705,51.499376,-0.009217708
Notting Hill Gate Station (Ext),K&C,525262.07,180478.32,TQ2526280478,51.509356,-0.19641234
Arlington Road,Camden,528726.14,183971.84,TQ2872683971,51.539968,-0.14524998
New Fetter Lane,City,531374.45,181529.56,TQ3137481529,51.517414,-0.10799976
Harford Street,Tower Hamlets,536129.28,182129.61,TQ3612982129,51.521681,-0.039280415
Pennington Street,Tower Hamlets,534383.92,180632.28,TQ3438380632,51.508646,-0.065001264
East Ferry Road,Tower Hamlets,537939.06,179151.95,TQ3793979151,51.494482,-0.014372353
Pritchard's Road,Tower Hamlets,534564.01,183243.62,TQ3456483243,51.532066,-0.0613986
Ackroyd Drive,Tower Hamlets,537005.33,182015.62,TQ3700582015,51.520445,-0.026706392
Teviot Street,Tower Hamlets,538051.07,181854.66,TQ3805181854,51.518744,-0.01170288
