Asked for under FOI,,,,,Additional data,,,,,
Date,Annual member hires using a key,Member hires made through the app,Casual hires at terminal,,24 hour members using a key,,,,,
02/10/2015," 15,923 "," 2,009 "," 14,149 ",," 2,861 ",,,,,
03/10/2015," 7,041 "," 1,395 "," 18,092 ",," 1,884 ",,,,,
04/10/2015," 6,638 "," 1,285 "," 19,387 ",," 1,984 ",,,,,
05/10/2015," 11,815 "," 1,478 "," 5,733 ",," 1,396 ",,,,,
06/10/2015," 14,320 "," 1,777 "," 7,463 ",," 1,940 ",,,,,
07/10/2015," 15,529 "," 2,048 "," 8,403 ",," 2,223 ",,,,,
08/10/2015," 16,991 "," 2,099 "," 11,317 ",," 2,765 ",,,,,
09/10/2015," 15,683 "," 1,900 "," 13,255 ",," 2,689 ",,,,,
10/10/2015," 7,296 "," 1,255 "," 18,408 ",," 1,927 ",,,,,
11/10/2015," 6,364 "," 1,179 "," 17,943 ",," 1,719 ",,,,,
12/10/2015," 16,260 "," 2,085 "," 10,207 ",," 2,256 ",,,,,
13/10/2015," 16,939 "," 2,214 "," 9,362 ",," 2,547 ",,,,,
14/10/2015," 16,362 "," 2,118 "," 9,164 ",," 2,470 ",,,,,
15/10/2015," 16,429 "," 1,931 "," 9,440 ",," 2,621 ",,,,,
16/10/2015," 14,931 "," 1,707 "," 10,520 ",," 2,448 ",,,,,
17/10/2015," 6,814 "," 1,133 "," 14,311 ",," 1,684 ",,,,,
18/10/2015," 5,737 "," 1,062 "," 14,354 ",," 1,496 ",,,,,
19/10/2015," 15,983 "," 2,039 "," 9,362 ",," 2,127 ",,,,,
20/10/2015," 17,130 "," 2,216 "," 10,400 ",," 2,483 ",,,,,
21/10/2015," 11,016 "," 1,324 "," 4,965 ",," 1,330 ",,,,,
22/10/2015," 16,103 "," 2,047 "," 9,232 ",," 2,521 ",,,,,
23/10/2015," 14,814 "," 1,791 "," 10,866 ",," 2,346 ",,,,,
24/10/2015," 5,373 ", 826 ," 9,327 ",," 1,047 ",,,,,
25/10/2015," 5,812 "," 1,019 "," 14,650 ",," 1,495 ",,,,,
26/10/2015," 14,983 "," 1,901 "," 10,887 ",," 2,041 ",,,,,
27/10/2015," 16,084 "," 2,058 "," 11,397 ",," 2,413 ",,,,,
28/10/2015," 11,829 "," 1,506 "," 8,461 ",," 1,706 ",,,,,
29/10/2015," 14,135 "," 1,761 "," 8,936 ",," 2,092 ",,,,,
30/10/2015," 11,391 "," 1,448 "," 9,080 ",," 1,675 ",,,,,
31/10/2015," 6,958 "," 1,265 "," 16,909 ",," 1,785 ",,,,,
01/11/2015," 5,537 "," 1,006 "," 14,461 ",," 1,386 ",,,,,
02/11/2015," 15,218 "," 1,933 "," 8,482 ",," 2,022 ",,,,,
03/11/2015," 16,507 "," 2,124 "," 9,098 ",," 2,518 ",,,,,
04/11/2015," 12,376 "," 1,630 "," 7,317 ",," 1,791 ",,,,,
05/11/2015," 13,850 "," 1,731 "," 6,717 ",," 1,879 ",,,,,
06/11/2015," 13,715 "," 1,626 "," 7,841 ",," 1,864 ",,,,,
07/11/2015," 5,142 ", 801 ," 7,741 ",, 934 ,,,,,
08/11/2015," 5,418 ", 996 ," 10,859 ",," 1,138 ",,,,,
09/11/2015," 15,964 "," 1,929 "," 8,085 ",," 2,065 ",,,,,
10/11/2015," 16,495 "," 2,055 "," 7,879 ",," 2,322 ",,,,,
11/11/2015," 16,548 "," 2,074 "," 8,409 ",," 2,406 ",,,,,
12/11/2015," 16,067 "," 1,888 "," 8,203 ",," 2,421 ",,,,,
13/11/2015," 13,942 "," 1,599 "," 7,281 ",," 2,035 ",,,,,
14/11/2015," 3,638 ", 511 ," 4,071 ",, 515 ,,,,,
15/11/2015," 5,243 ", 848 ," 10,020 ",," 1,176 ",,,,,
16/11/2015," 14,841 "," 1,955 "," 7,474 ",," 1,851 ",,,,,
17/11/2015," 13,985 "," 1,917 "," 5,742 ",," 1,683 ",,,,,
18/11/2015," 15,129 "," 1,976 "," 6,890 ",," 2,058 ",,,,,
19/11/2015," 13,827 "," 1,784 "," 5,887 ",," 1,842 ",,,,,
20/11/2015," 14,071 "," 1,708 "," 7,651 ",," 1,990 ",,,,,
21/11/2015," 4,999 ", 686 ," 5,955 ",, 898 ,,,,,
22/11/2015," 4,544 ", 705 ," 6,751 ",, 903 ,,,,,
23/11/2015," 14,610 "," 1,783 "," 5,493 ",," 1,674 ",,,,,
24/11/2015," 12,984 "," 1,604 "," 4,742 ",," 1,543 ",,,,,
25/11/2015," 15,341 "," 1,750 "," 6,486 ",," 2,068 ",,,,,
26/11/2015," 15,156 "," 1,891 "," 6,921 ",," 2,309 ",,,,,
27/11/2015," 13,134 "," 1,480 "," 6,835 ",," 1,745 ",,,,,
28/11/2015," 5,816 ", 850 ," 8,369 ",," 1,033 ",,,,,
29/11/2015," 4,172 ", 587 ," 5,744 ",, 705 ,,,,,
30/11/2015," 13,256 "," 1,633 "," 5,087 ",," 1,461 ",,,,,
01/12/2015," 15,671 "," 2,011 "," 6,483 ",," 2,022 ",,,,,
02/12/2015," 15,920 "," 2,067 "," 7,296 ",," 2,111 ",,,,,
03/12/2015," 14,890 "," 1,837 "," 6,689 ",," 2,126 ",,,,,
04/12/2015," 14,012 "," 1,613 "," 7,981 ",," 1,968 ",,,,,
05/12/2015," 5,913 ", 887 ," 8,419 ",," 1,076 ",,,,,
06/12/2015," 5,072 ", 827 ," 8,462 ",, 921 ,,,,,
07/12/2015," 14,925 "," 1,896 "," 6,669 ",," 1,876 ",,,,,
08/12/2015," 13,495 "," 1,749 "," 6,065 ",," 1,751 ",,,,,
09/12/2015," 15,439 "," 2,052 "," 7,495 ",," 2,216 ",,,,,
10/12/2015," 13,436 "," 1,663 "," 5,865 ",," 1,859 ",,,,,
11/12/2015," 12,984 "," 1,533 "," 6,541 ",," 1,831 ",,,,,
12/12/2015," 5,963 ", 987 ," 8,333 ",," 1,113 ",,,,,
13/12/2015," 4,579 ", 672 ," 5,988 ",, 832 ,,,,,
14/12/2015," 14,282 "," 1,672 "," 5,781 ",," 1,717 ",,,,,
15/12/2015," 11,990 "," 1,550 "," 4,850 ",," 1,462 ",,,,,
16/12/2015," 14,439 "," 1,907 "," 6,842 ",," 1,979 ",,,,,
17/12/2015," 14,386 "," 1,744 "," 7,224 ",," 2,084 ",,,,,
18/12/2015," 13,122 "," 1,744 "," 8,509 ",," 1,944 ",,,,,
19/12/2015," 5,839 ", 937 ," 10,419 ",," 1,206 ",,,,,
20/12/2015," 4,046 ", 674 ," 7,296 ",, 823 ,,,,,
21/12/2015," 10,005 "," 1,339 "," 5,234 ",," 1,272 ",,,,,
22/12/2015," 9,397 "," 1,287 "," 5,217 ",," 1,282 ",,,,,
23/12/2015," 8,900 "," 1,160 "," 6,727 ",," 1,369 ",,,,,
24/12/2015," 3,992 ", 479 ," 3,719 ",, 531 ,,,,,
25/12/2015," 1,028 ", 251 ," 19,436 ",, 488 ,,,,,
26/12/2015," 1,544 ", 263 ," 7,769 ",, 426 ,,,,,
27/12/2015," 1,823 ", 332 ," 6,658 ",, 404 ,,,,,
28/12/2015," 2,780 ", 500 ," 9,426 ",, 729 ,,,,,
29/12/2015," 5,149 ", 744 ," 8,515 ",, 899 ,,,,,
30/12/2015," 4,876 ", 660 ," 5,827 ",, 724 ,,,,,
31/12/2015," 4,451 ", 615 ," 7,758 ",, 759 ,,,,,
01/01/2016," 1,917 ", 286 ," 6,867 ",, 466 ,,,,,
02/01/2016," 2,567 ", 353 ," 3,714 ",, 441 ,,,,,
03/01/2016," 2,003 ", 304 ," 2,166 ",, 281 ,,,,,
04/01/2016," 12,169 "," 1,493 "," 5,213 ",," 1,369 ",,,,,
05/01/2016," 13,716 "," 1,662 "," 5,468 ",," 1,659 ",,,,,
06/01/2016," 13,969 "," 1,714 "," 5,290 ",," 1,715 ",,,,,
07/01/2016," 11,154 "," 1,320 "," 4,021 ",," 1,353 ",,,,,
08/01/2016," 12,621 "," 1,446 "," 4,896 ",," 1,516 ",,,,,
09/01/2016," 4,618 ", 651 ," 5,274 ",, 822 ,,,,,
10/01/2016," 4,887 ", 774 ," 7,437 ",, 966 ,,,,,
11/01/2016," 13,260 "," 1,616 "," 4,437 ",," 1,500 ",,,,,
12/01/2016," 14,334 "," 1,666 "," 4,687 ",," 1,786 ",,,,,
13/01/2016," 14,881 "," 1,823 "," 5,496 ",," 1,981 ",,,,,
14/01/2016," 13,939 "," 1,483 "," 4,566 ",," 1,845 ",,,,,
15/01/2016," 13,363 "," 1,475 "," 5,502 ",," 1,770 ",,,,,
16/01/2016," 5,683 ", 691 ," 8,219 ",," 1,214 ",,,,,
17/01/2016," 4,605 ", 554 ," 5,512 ",, 876 ,,,,,
18/01/2016," 14,527 "," 1,484 "," 4,716 ",," 1,737 ",,,,,
19/01/2016," 14,852 "," 1,429 "," 5,274 ",," 1,913 ",,,,,
20/01/2016," 14,627 "," 1,445 "," 5,419 ",," 1,951 ",,,,,
21/01/2016," 14,574 "," 1,346 "," 5,188 ",," 1,886 ",,,,,
22/01/2016," 11,323 "," 1,024 "," 4,279 ",," 1,436 ",,,,,
23/01/2016," 5,630 ", 727 ," 9,409 ",," 1,161 ",,,,,
24/01/2016," 4,997 ", 748 ," 9,229 ",," 1,098 ",,,,,
25/01/2016," 14,921 "," 1,727 "," 6,860 ",," 1,874 ",,,,,
26/01/2016," 12,708 "," 1,439 "," 4,344 ",," 1,464 ",,,,,
27/01/2016," 13,507 "," 1,514 "," 4,709 ",," 1,672 ",,,,,
28/01/2016," 14,898 "," 1,618 "," 6,349 ",," 2,110 ",,,,,
29/01/2016," 13,046 "," 1,401 "," 5,946 ",," 1,799 ",,,,,
30/01/2016," 5,658 ", 695 ," 8,546 ",," 1,227 ",,,,,
31/01/2016," 4,022 ", 543 ," 5,570 ",, 668 ,,,,,
01/02/2016," 14,324 "," 1,555 "," 5,688 ",," 1,697 ",,,,,
02/02/2016," 14,827 "," 1,530 "," 5,902 ",," 1,882 ",,,,,
03/02/2016," 14,779 "," 1,608 "," 5,752 ",," 1,924 ",,,,,
04/02/2016," 14,797 "," 1,599 "," 6,359 ",," 2,029 ",,,,,
05/02/2016," 12,916 "," 1,366 "," 6,393 ",," 1,650 ",,,,,
06/02/2016," 4,734 ", 630 ," 6,598 ",, 910 ,,,,,
07/02/2016," 4,348 ", 601 ," 7,915 ",, 991 ,,,,,
08/02/2016," 12,743 "," 1,214 "," 4,150 ",," 1,452 ",,,,,
09/02/2016," 14,394 "," 1,493 "," 5,252 ",," 1,831 ",,,,,
10/02/2016," 14,436 "," 1,501 "," 5,543 ",," 1,805 ",,,,,
11/02/2016," 14,865 "," 1,538 "," 6,370 ",," 2,045 ",,,,,
12/02/2016," 13,217 "," 1,372 "," 6,027 ",," 1,849 ",,,,,
13/02/2016," 4,249 ", 599 ," 4,108 ",, 715 ,,,,,
14/02/2016," 4,392 ", 633 ," 7,451 ",, 996 ,,,,,
15/02/2016," 12,689 "," 1,458 "," 5,872 ",," 1,449 ",,,,,
16/02/2016," 13,602 "," 1,711 "," 6,992 ",," 1,722 ",,,,,
17/02/2016," 11,250 "," 1,413 "," 4,737 ",," 1,359 ",,,,,
18/02/2016," 13,393 "," 1,539 "," 6,487 ",," 1,749 ",,,,,
19/02/2016," 11,779 "," 1,526 "," 6,984 ",," 1,545 ",,,,,
20/02/2016," 4,328 ", 620 ," 5,165 ",, 821 ,,,,,
21/02/2016," 4,840 ", 698 ," 7,844 ",," 1,062 ",,,,,
22/02/2016," 12,820 "," 1,303 "," 4,521 ",," 1,528 ",,,,,
23/02/2016," 15,427 "," 1,478 "," 6,200 ",," 2,146 ",,,,,
24/02/2016," 15,019 "," 1,391 "," 6,564 ",," 2,120 ",,,,,
25/02/2016," 14,457 "," 1,461 "," 5,819 ",," 2,077 ",,,,,
26/02/2016," 13,285 "," 1,387 "," 6,658 ",," 1,885 ",,,,,
27/02/2016," 5,291 ", 599 ," 7,473 ",," 1,105 ",,,,,
28/02/2016," 4,511 ", 630 ," 7,048 ",," 1,010 ",,,,,
29/02/2016," 14,504 "," 1,424 "," 5,523 ",," 1,770 ",,,,,
01/03/2016," 13,211 "," 1,309 "," 4,319 ",," 1,571 ",,,,,
02/03/2016," 13,265 "," 1,417 "," 4,046 ",," 1,593 ",,,,,
03/03/2016," 14,473 "," 1,512 "," 6,021 ",," 2,063 ",,,,,
04/03/2016," 13,410 "," 1,357 "," 6,931 ",," 1,921 ",,,,,
05/03/2016," 4,734 ", 648 ," 5,771 ",, 855 ,,,,,
06/03/2016," 4,289 ", 586 ," 6,513 ",, 879 ,,,,,
07/03/2016," 14,009 "," 1,652 "," 5,001 ",," 1,702 ",,,,,
08/03/2016," 14,272 "," 1,683 "," 5,118 ",," 1,755 ",,,,,
09/03/2016," 11,917 "," 1,435 "," 4,111 ",," 1,402 ",,,,,
10/03/2016," 13,996 "," 1,638 "," 5,693 ",," 1,826 ",,,,,
11/03/2016," 13,507 "," 1,018 "," 4,579 ",," 1,418 ",,,,,
12/03/2016," 5,960 ", 916 ," 13,062 ",," 1,295 ",,,,,
13/03/2016," 5,149 ", 857 ," 14,058 ",," 1,297 ",,,,,
14/03/2016," 14,687 "," 1,532 "," 7,045 ",," 1,813 ",,,,,
15/03/2016," 15,212 "," 1,631 "," 5,988 ",," 2,020 ",,,,,
16/03/2016," 14,747 "," 1,699 "," 6,422 ",," 2,067 ",,,,,
17/03/2016," 14,921 "," 1,643 "," 7,838 ",," 2,263 ",,,,,
18/03/2016," 12,904 "," 1,448 "," 6,565 ",," 1,778 ",,,,,
19/03/2016," 5,669 "," 1,014 "," 9,848 ",," 1,080 ",,,,,
20/03/2016," 4,819 ", 953 ," 9,994 ",, 989 ,,,,,
21/03/2016," 14,644 "," 1,880 "," 7,183 ",," 1,768 ",,,,,
22/03/2016," 15,670 "," 2,126 "," 8,811 ",," 2,181 ",,,,,
23/03/2016," 14,884 "," 2,010 "," 7,580 ",," 2,045 ",,,,,
24/03/2016," 10,831 "," 1,392 "," 5,347 ",," 1,487 ",,,,,
25/03/2016," 4,784 ", 865 ," 17,761 ",," 1,380 ",,,,,
26/03/2016," 3,054 ", 468 ," 6,820 ",, 595 ,,,,,
27/03/2016," 2,347 ", 352 ," 6,712 ",, 442 ,,,,,
28/03/2016," 2,889 ", 471 ," 6,129 ",, 558 ,,,,,
29/03/2016," 10,072 "," 1,205 "," 5,916 ",," 1,331 ",,,,,
30/03/2016," 13,604 "," 1,593 "," 8,963 ",," 1,997 ",,,,,
31/03/2016," 13,984 "," 1,603 "," 10,056 ",," 2,230 ",,,,,
01/04/2016," 12,669 "," 1,424 "," 10,621 ",," 2,101 ",,,,,
02/04/2016," 5,596 ", 975 ," 15,816 ",," 1,648 ",,,,,
03/04/2016," 5,147 ", 901 ," 16,950 ",," 1,589 ",,,,,
04/04/2016," 13,272 "," 1,615 "," 8,164 ",," 1,745 ",,,,,
05/04/2016," 14,958 "," 1,988 "," 10,931 ",," 2,288 ",,,,,
06/04/2016," 13,059 "," 1,646 "," 7,220 ",," 1,778 ",,,,,
07/04/2016," 12,563 "," 1,506 "," 6,179 ",," 1,655 ",,,,,
08/04/2016," 13,214 "," 1,669 "," 9,956 ",," 1,979 ",,,,,
09/04/2016," 5,740 ", 841 ," 11,582 ",," 1,290 ",,,,,
10/04/2016," 5,558 ", 913 ," 15,044 ",," 1,551 ",,,,,
11/04/2016," 13,767 "," 1,711 "," 6,467 ",," 1,807 ",,,,,
12/04/2016," 15,986 "," 2,284 "," 9,844 ",," 2,269 ",,,,,
13/04/2016," 16,057 "," 2,378 "," 10,403 ",," 2,537 ",,,,,
14/04/2016," 15,672 "," 2,198 "," 9,924 ",," 2,467 ",,,,,
15/04/2016," 9,070 "," 1,238 "," 4,147 ",," 1,060 ",,,,,
16/04/2016," 5,564 "," 1,106 "," 9,450 ",," 1,187 ",,,,,
17/04/2016," 5,866 "," 1,296 "," 17,722 ",," 1,628 ",,,,,
18/04/2016," 15,458 "," 2,216 "," 8,209 ",," 2,019 ",,,,,
19/04/2016," 16,840 "," 2,410 "," 11,091 ",," 2,568 ",,,,,
20/04/2016," 16,920 "," 2,500 "," 11,623 ",," 2,723 ",,,,,
21/04/2016," 15,997 "," 2,392 "," 10,274 ",," 2,591 ",,,,,
22/04/2016," 10,831 "," 1,523 "," 6,212 ",," 1,493 ",,,,,
23/04/2016," 6,021 "," 1,115 "," 12,935 ",," 1,399 ",,,,,
24/04/2016," 5,015 "," 1,061 "," 11,182 ",," 1,092 ",,,,,
25/04/2016," 13,892 "," 1,948 "," 6,326 ",," 1,715 ",,,,,
26/04/2016," 15,452 "," 2,311 "," 7,454 ",," 2,102 ",,,,,
27/04/2016," 15,212 "," 2,475 "," 7,882 ",," 2,260 ",,,,,
28/04/2016," 15,423 "," 2,326 "," 8,188 ",," 2,346 ",,,,,
29/04/2016," 13,049 "," 1,952 "," 8,117 ",," 1,970 ",,,,,
30/04/2016," 5,547 "," 1,073 "," 16,142 ",," 1,546 ",,,,,
01/05/2016," 4,756 ", 987 ," 21,432 ",," 1,581 ",,,,,
02/05/2016," 4,834 ", 818 ," 12,347 ",," 1,149 ",,,,,
03/05/2016," 16,321 "," 2,135 "," 10,486 ",," 2,649 ",,,,,
04/05/2016," 17,441 "," 2,146 "," 12,984 ",," 3,159 ",,,,,
05/05/2016," 16,900 "," 2,967 "," 15,463 ",," 2,891 ",,,,,
06/05/2016," 15,805 "," 2,865 "," 17,646 ",," 2,818 ",,,,,
07/05/2016," 7,624 "," 2,212 "," 30,782 ",," 2,470 ",,,,,
08/05/2016," 6,929 "," 1,994 "," 32,293 ",," 2,403 ",,,,,
09/05/2016," 14,621 "," 2,491 "," 10,887 ",," 2,111 ",,,,,
10/05/2016," 11,717 "," 1,892 "," 6,075 ",," 1,519 ",,,,,
11/05/2016," 14,619 "," 2,431 "," 8,128 ",," 2,093 ",,,,,
12/05/2016," 17,251 "," 2,854 "," 14,411 ",," 3,155 ",,,,,
13/05/2016," 15,125 "," 2,525 "," 13,794 ",," 2,854 ",,,,,
14/05/2016," 6,850 "," 1,652 "," 19,353 ",," 1,759 ",,,,,
15/05/2016," 6,158 "," 1,817 "," 23,996 ",," 1,891 ",,,,,
16/05/2016," 16,773 "," 3,040 "," 14,226 ",," 2,571 ",,,,,
17/05/2016," 18,014 "," 1,287 "," 12,974 ",," 3,769 ",,,,,
18/05/2016," 12,883 "," 2,260 "," 6,908 ",," 1,777 ",,,,,
19/05/2016," 16,286 "," 2,902 "," 11,826 ",," 2,882 ",,,,,
20/05/2016," 15,428 "," 2,603 "," 14,314 ",," 2,949 ",,,,,
21/05/2016," 6,592 "," 1,586 "," 16,336 ",," 1,571 ",,,,,
22/05/2016," 5,969 "," 1,788 "," 20,660 ",," 1,810 ",,,,,
23/05/2016," 16,401 "," 3,029 "," 12,727 ",," 2,522 ",,,,,
24/05/2016," 17,220 "," 3,087 "," 12,632 ",," 2,843 ",,,,,
25/05/2016," 17,391 ", 7 ," 9,931 ",," 3,914 ",,,,,
26/05/2016," 18,122 ", -   ," 13,847 ",," 4,663 ",,,,,
27/05/2016," 15,846 ", -   ," 15,465 ",," 3,948 ",,,,,
28/05/2016," 6,558 ", -   ," 21,085 ",," 2,658 ",,,,,
29/05/2016," 5,382 ", -   ," 22,627 ",," 2,207 ",,,,,
30/05/2016," 5,603 ", -   ," 15,614 ",," 2,092 ",,,,,
31/05/2016, -   , -   , -   ,, -   ,,,,,
01/06/2016," 14,783 ", -   ," 8,779 ",," 2,963 ",,,,,
02/06/2016," 15,404 ", -   ," 9,759 ",," 3,336 ",,,,,
03/06/2016," 14,167 ", -   ," 11,547 ",," 3,166 ",,,,,
04/06/2016," 7,504 ", -   ," 18,981 ",," 2,787 ",,,,,
05/06/2016," 7,199 ", -   ," 28,762 ",," 3,417 ",,,,,
06/06/2016," 18,094 ", -   ," 15,986 ",," 4,447 ",,,,,
07/06/2016," 17,795 ", 1 ," 12,177 ",," 4,324 ",,,,,
08/06/2016," 17,508 ", -   ," 12,008 ",," 4,284 ",,,,,
09/06/2016," 18,768 ", -   ," 16,824 ",," 5,071 ",,,,,
10/06/2016," 16,884 ", -   ," 17,709 ",," 4,563 ",,,,,
11/06/2016," 6,982 ", -   ," 18,206 ",," 2,831 ",,,,,
12/06/2016," 4,713 ", -   ," 11,266 ",," 1,591 ",,,,,
13/06/2016," 15,078 ", -   ," 8,781 ",," 3,132 ",,,,,
14/06/2016," 16,437 ", -   ," 9,428 ",," 3,648 ",,,,,
15/06/2016," 16,619 "," 3,233 "," 13,947 ",," 3,100 ",,,,,
16/06/2016," 14,565 "," 2,651 "," 11,106 ",," 2,447 ",,,,,
17/06/2016," 13,510 "," 2,430 "," 12,827 ",," 2,458 ",,,,,
18/06/2016," 6,474 "," 1,794 "," 18,810 ",," 1,804 ",,,,,
19/06/2016," 5,979 "," 1,666 "," 21,135 ",," 1,807 ",,,,,
20/06/2016," 10,401 "," 1,907 "," 7,987 ",," 1,490 ",,,,,
21/06/2016," 16,963 "," 3,345 "," 15,012 ",," 2,864 ",,,,,
22/06/2016," 16,238 "," 3,327 "," 13,530 ",," 2,715 ",,,,,
23/06/2016," 11,166 "," 2,163 "," 9,403 ",," 1,836 ",,,,,
24/06/2016," 14,405 "," 2,212 "," 16,082 ",," 2,844 ",,,,,
25/06/2016," 5,821 "," 1,532 "," 16,628 ",," 1,626 ",,,,,
26/06/2016," 5,517 "," 1,644 "," 20,046 ",," 1,566 ",,,,,
27/06/2016," 14,290 "," 2,868 "," 13,579 ",," 2,184 ",,,,,
28/06/2016," 14,232 "," 2,768 "," 11,613 ",," 2,326 ",,,,,
29/06/2016," 15,167 "," 2,820 "," 10,381 ",," 2,477 ",,,,,
30/06/2016," 15,698 "," 2,903 "," 13,693 ",," 2,746 ",,,,,
01/07/2016," 11,666 "," 2,129 "," 11,637 ",," 1,979 ",,,,,
02/07/2016," 6,205 "," 1,778 "," 20,066 ",," 1,860 ",,,,,
03/07/2016," 5,999 "," 1,806 "," 23,457 ",," 1,969 ",,,,,
04/07/2016," 15,851 "," 3,227 "," 15,126 ",," 2,599 ",,,,,
05/07/2016," 16,932 "," 3,493 "," 16,532 ",," 3,096 ",,,,,
06/07/2016," 17,019 "," 3,735 "," 17,894 ",," 3,247 ",,,,,
07/07/2016," 16,321 "," 3,135 "," 16,119 ",," 3,105 ",,,,,
08/07/2016," 14,391 "," 2,861 "," 16,356 ",," 2,798 ",,,,,
09/07/2016," 6,359 "," 2,044 "," 23,093 ",," 1,968 ",,,,,
10/07/2016," 5,527 "," 1,796 "," 19,756 ",," 1,685 ",,,,,
11/07/2016," 14,575 "," 2,976 "," 12,228 ",," 2,320 ",,,,,
12/07/2016," 14,037 "," 2,975 "," 10,214 ",," 2,353 ",,,,,
13/07/2016," 15,756 "," 3,254 "," 13,565 ",," 2,734 ",,,,,
14/07/2016," 15,965 "," 3,045 "," 17,243 ",," 3,245 ",,,,,
15/07/2016," 14,019 "," 2,539 "," 16,666 ",," 2,897 ",,,,,
16/07/2016," 6,648 "," 1,962 "," 27,092 ",," 2,071 ",,,,,
17/07/2016," 6,056 "," 1,892 "," 27,066 ",," 2,092 ",,,,,
18/07/2016," 16,057 "," 2,679 "," 20,551 ",," 3,330 ",,,,,
19/07/2016," 16,607 "," 3,240 "," 22,134 ",," 3,403 ",,,,,
20/07/2016," 16,345 "," 3,912 "," 20,742 ",," 3,129 ",,,,,
21/07/2016," 15,852 "," 3,452 "," 18,430 ",," 3,020 ",,,,,
22/07/2016," 13,257 "," 2,811 "," 16,854 ",," 2,586 ",,,,,
23/07/2016," 6,760 "," 2,311 "," 29,204 ",," 2,475 ",,,,,
24/07/2016," 5,752 "," 2,151 "," 27,888 ",," 2,030 ",,,,,
25/07/2016," 14,979 "," 3,539 "," 18,843 ",," 2,725 ",,,,,
26/07/2016," 15,547 "," 3,757 "," 19,256 ",," 2,938 ",,,,,
27/07/2016," 12,869 "," 3,114 "," 14,643 ",," 2,283 ",,,,,
28/07/2016," 14,882 "," 3,626 "," 16,726 ",," 2,853 ",,,,,
29/07/2016," 12,904 "," 2,746 "," 16,633 ",," 2,575 ",,,,,
30/07/2016," 6,684 "," 2,567 "," 32,740 ",," 2,713 ",,,,,
31/07/2016," 6,302 "," 1,987 "," 33,892 ",," 2,675 ",,,,,
01/08/2016," 12,037 "," 2,458 "," 13,030 ",," 1,874 ",,,,,
02/08/2016," 12,617 "," 3,020 "," 10,735 ",," 1,972 ",,,,,
03/08/2016," 15,059 "," 3,714 "," 18,045 ",," 2,944 ",,,,,
04/08/2016," 14,723 "," 3,484 "," 17,447 ",," 2,950 ",,,,,
05/08/2016," 13,367 "," 3,214 "," 19,931 ",," 3,018 ",,,,,
06/08/2016," 6,300 "," 2,415 "," 30,166 ",," 2,291 ",,,,,
07/08/2016," 5,638 "," 2,122 "," 27,575 ",," 2,038 ",,,,,
08/08/2016," 13,823 "," 3,434 "," 17,429 ",," 2,634 ",,,,,
09/08/2016," 14,743 "," 3,708 "," 17,650 ",," 2,908 ",,,,,
10/08/2016," 14,521 "," 3,714 "," 16,864 ",," 2,873 ",,,,,
11/08/2016," 14,102 "," 3,430 "," 16,702 ",," 2,875 ",,,,,
12/08/2016," 13,295 "," 3,074 "," 20,100 ",," 3,138 ",,,,,
13/08/2016," 6,055 "," 2,891 "," 30,493 ",," 3,021 ",,,,,
14/08/2016," 5,546 "," 2,926 "," 31,999 ",," 2,736 ",,,,,
15/08/2016," 14,326 "," 3,752 "," 19,816 ",," 2,838 ",,,,,
16/08/2016," 14,892 "," 3,770 "," 18,073 ",," 3,066 ",,,,,
17/08/2016," 15,011 "," 3,858 "," 19,596 ",," 3,420 ",,,,,
18/08/2016," 14,346 "," 3,601 "," 17,429 ",," 3,122 ",,,,,
19/08/2016," 10,205 "," 2,304 "," 10,901 ",," 1,873 ",,,,,
20/08/2016," 5,054 "," 1,759 "," 15,685 ",," 1,643 ",,,,,
21/08/2016," 4,976 "," 1,863 "," 19,332 ",," 1,647 ",,,,,
22/08/2016," 13,559 "," 3,328 "," 15,870 ",," 2,495 ",,,,,
23/08/2016," 15,132 "," 3,846 "," 19,418 ",," 3,208 ",,,,,
24/08/2016," 14,678 "," 3,857 "," 18,512 ",," 3,172 ",,,,,
25/08/2016," 14,060 "," 3,539 "," 16,755 ",," 2,956 ",,,,,
26/08/2016," 12,384 "," 2,480 "," 19,089 ",," 3,211 ",,,,,
27/08/2016," 5,165 "," 1,914 "," 22,890 ",," 1,851 ",,,,,
28/08/2016," 3,983 "," 1,513 "," 18,645 ",," 1,372 ",,,,,
29/08/2016," 5,255 "," 2,059 "," 24,456 ",," 1,888 ",,,,,
30/08/2016," 14,428 "," 3,613 "," 18,038 ",," 2,939 ",,,,,
31/08/2016," 15,274 "," 3,527 "," 16,530 ",," 3,215 ",,,,,
01/09/2016," 15,423 "," 3,820 "," 17,048 ",," 3,182 ",,,,,
02/09/2016," 13,343 "," 3,030 "," 14,632 ",," 2,878 ",,,,,
03/09/2016," 5,068 "," 1,797 "," 14,835 ",," 1,493 ",,,,,
04/09/2016," 5,767 "," 2,058 "," 17,718 ",," 1,602 ",,,,,
05/09/2016," 12,205 "," 2,792 "," 10,535 ",," 2,022 ",,,,,
06/09/2016," 16,239 "," 3,682 "," 14,179 ",," 3,117 ",,,,,
07/09/2016," 16,326 "," 4,015 "," 15,848 ",," 3,194 ",,,,,
08/09/2016," 16,533 "," 3,941 "," 16,261 ",," 3,415 ",,,,,
09/09/2016," 14,475 "," 3,430 "," 14,919 ",," 2,955 ",,,,,
10/09/2016," 4,607 "," 1,305 "," 9,841 ",," 1,061 ",,,,,
