Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
BL0,CO,11/07/2012 00:00,0.2,mg m-3,R
BL0,CO,12/07/2012 00:00,0.2,mg m-3,R
BL0,CO,13/07/2012 00:00,0.2,mg m-3,R
BL0,CO,14/07/2012 00:00,0.2,mg m-3,R
BL0,CO,15/07/2012 00:00,0.1,mg m-3,R
BL0,CO,16/07/2012 00:00,,mg m-3,R
BL0,CO,17/07/2012 00:00,,mg m-3,R
BL0,CO,18/07/2012 00:00,,mg m-3,R
BL0,CO,19/07/2012 00:00,,mg m-3,R
BL0,CO,20/07/2012 00:00,,mg m-3,R
BL0,CO,21/07/2012 00:00,,mg m-3,R
BL0,CO,22/07/2012 00:00,,mg m-3,R
BL0,CO,23/07/2012 00:00,,mg m-3,R
BL0,CO,24/07/2012 00:00,,mg m-3,R
BL0,CO,25/07/2012 00:00,,mg m-3,R
BL0,CO,26/07/2012 00:00,,mg m-3,R
BL0,CO,27/07/2012 00:00,,mg m-3,R
BL0,CO,28/07/2012 00:00,,mg m-3,R
BL0,CO,29/07/2012 00:00,,mg m-3,R
BL0,CO,30/07/2012 00:00,,mg m-3,R
BL0,CO,31/07/2012 00:00,,mg m-3,R
BL0,CO,01/08/2012 00:00,,mg m-3,R
BL0,CO,02/08/2012 00:00,,mg m-3,R
BL0,CO,03/08/2012 00:00,,mg m-3,R
BL0,CO,04/08/2012 00:00,,mg m-3,R
BL0,CO,05/08/2012 00:00,,mg m-3,R
BL0,CO,06/08/2012 00:00,,mg m-3,R
BL0,CO,07/08/2012 00:00,,mg m-3,R
BL0,CO,08/08/2012 00:00,,mg m-3,R
BL0,CO,09/08/2012 00:00,,mg m-3,R
BL0,CO,10/08/2012 00:00,,mg m-3,R
BL0,CO,11/08/2012 00:00,,mg m-3,R
BL0,CO,12/08/2012 00:00,,mg m-3,R
BL0,CO,13/08/2012 00:00,,mg m-3,R
BL0,CO,14/08/2012 00:00,,mg m-3,R
BL0,CO,15/08/2012 00:00,,mg m-3,R
BL0,CO,16/08/2012 00:00,,mg m-3,R
BL0,CO,17/08/2012 00:00,,mg m-3,R
BL0,CO,18/08/2012 00:00,,mg m-3,R
BL0,CO,19/08/2012 00:00,,mg m-3,R
BL0,CO,20/08/2012 00:00,,mg m-3,R
BL0,CO,21/08/2012 00:00,,mg m-3,R
BL0,CO,22/08/2012 00:00,,mg m-3,R
BL0,CO,23/08/2012 00:00,,mg m-3,R
BL0,CO,24/08/2012 00:00,,mg m-3,R
BL0,CO,25/08/2012 00:00,,mg m-3,R
BL0,CO,26/08/2012 00:00,,mg m-3,R
BL0,CO,27/08/2012 00:00,,mg m-3,R
BL0,CO,28/08/2012 00:00,,mg m-3,R
BL0,CO,29/08/2012 00:00,,mg m-3,R
BL0,CO,30/08/2012 00:00,,mg m-3,R
BL0,CO,31/08/2012 00:00,,mg m-3,R
BL0,CO,01/09/2012 00:00,,mg m-3,R
BL0,CO,02/09/2012 00:00,,mg m-3,R
BL0,CO,03/09/2012 00:00,,mg m-3,R
BL0,CO,04/09/2012 00:00,,mg m-3,R
BL0,CO,05/09/2012 00:00,,mg m-3,R
BL0,CO,06/09/2012 00:00,,mg m-3,R
BL0,CO,07/09/2012 00:00,,mg m-3,R
BL0,CO,08/09/2012 00:00,,mg m-3,R
BL0,CO,09/09/2012 00:00,,mg m-3,R
BL0,CO,10/09/2012 00:00,,mg m-3,R
BL0,CO,11/09/2012 00:00,,mg m-3,R
BL0,CO,12/09/2012 00:00,,mg m-3,R
BL0,CO,13/09/2012 00:00,,mg m-3,R
BL0,CO,14/09/2012 00:00,,mg m-3,R
BL0,CO,15/09/2012 00:00,,mg m-3,R
BL0,CO,16/09/2012 00:00,,mg m-3,R
BL0,CO,17/09/2012 00:00,,mg m-3,R
BL0,CO,18/09/2012 00:00,,mg m-3,R
BL0,CO,19/09/2012 00:00,,mg m-3,R
BL0,CO,20/09/2012 00:00,,mg m-3,R
BL0,CO,21/09/2012 00:00,,mg m-3,R
BL0,CO,22/09/2012 00:00,,mg m-3,R
BL0,CO,23/09/2012 00:00,,mg m-3,R
BL0,CO,24/09/2012 00:00,,mg m-3,R
BL0,CO,25/09/2012 00:00,,mg m-3,R
BL0,CO,26/09/2012 00:00,,mg m-3,R
BL0,CO,27/09/2012 00:00,,mg m-3,R
BL0,CO,28/09/2012 00:00,,mg m-3,R
BL0,CO,29/09/2012 00:00,,mg m-3,R
BL0,CO,30/09/2012 00:00,,mg m-3,R
BL0,CO,01/10/2012 00:00,,mg m-3,R
BL0,CO,02/10/2012 00:00,,mg m-3,R
BL0,CO,03/10/2012 00:00,,mg m-3,R
BL0,CO,04/10/2012 00:00,,mg m-3,R
BL0,CO,05/10/2012 00:00,,mg m-3,R
BL0,CO,06/10/2012 00:00,,mg m-3,R
BL0,CO,07/10/2012 00:00,,mg m-3,R
BL0,CO,08/10/2012 00:00,,mg m-3,R
BL0,CO,09/10/2012 00:00,,mg m-3,R
BL0,CO,10/10/2012 00:00,,mg m-3,R
BL0,CO,11/10/2012 00:00,,mg m-3,R
BL0,CO,12/10/2012 00:00,,mg m-3,R
BL0,CO,13/10/2012 00:00,,mg m-3,R
BL0,CO,14/10/2012 00:00,,mg m-3,R
BL0,CO,15/10/2012 00:00,,mg m-3,R
BL0,CO,16/10/2012 00:00,,mg m-3,R
BL0,CO,17/10/2012 00:00,,mg m-3,R
BL0,CO,18/10/2012 00:00,,mg m-3,R
BL0,CO,19/10/2012 00:00,,mg m-3,R
BL0,CO,20/10/2012 00:00,,mg m-3,R
BL0,CO,21/10/2012 00:00,,mg m-3,R
BL0,CO,22/10/2012 00:00,,mg m-3,R
BL0,CO,23/10/2012 00:00,,mg m-3,R
BL0,CO,24/10/2012 00:00,,mg m-3,R
