Site,Species,ReadingDateTime,Value,Units,Provisional or Ratified
HK6,NO,16/04/2012 00:00,39.3,ug m-3,R
HK6,NO,17/04/2012 00:00,41.2,ug m-3,R
HK6,NO,18/04/2012 00:00,38.1,ug m-3,R
HK6,NO,19/04/2012 00:00,87.4,ug m-3,R
HK6,NO,20/04/2012 00:00,77.7,ug m-3,R
HK6,NO,21/04/2012 00:00,61,ug m-3,R
HK6,NO,22/04/2012 00:00,29.2,ug m-3,R
HK6,NO,23/04/2012 00:00,35.3,ug m-3,R
HK6,NO,24/04/2012 00:00,46.2,ug m-3,R
HK6,NO,25/04/2012 00:00,25,ug m-3,R
HK6,NO,26/04/2012 00:00,30.8,ug m-3,R
HK6,NO,27/04/2012 00:00,36.9,ug m-3,R
HK6,NO,28/04/2012 00:00,29.7,ug m-3,R
HK6,NO,29/04/2012 00:00,19,ug m-3,R
HK6,NO,30/04/2012 00:00,30,ug m-3,R
HK6,NO,01/05/2012 00:00,48.6,ug m-3,R
HK6,NO,02/05/2012 00:00,30.2,ug m-3,R
HK6,NO,03/05/2012 00:00,27.1,ug m-3,R
HK6,NO,04/05/2012 00:00,35.2,ug m-3,R
HK6,NO,05/05/2012 00:00,27.5,ug m-3,R
HK6,NO,06/05/2012 00:00,33.7,ug m-3,R
HK6,NO,07/05/2012 00:00,22,ug m-3,R
HK6,NO,08/05/2012 00:00,36.9,ug m-3,R
HK6,NO,09/05/2012 00:00,57.4,ug m-3,R
HK6,NO,10/05/2012 00:00,36.6,ug m-3,R
HK6,NO,11/05/2012 00:00,47.5,ug m-3,R
HK6,NO,12/05/2012 00:00,31.4,ug m-3,R
HK6,NO,13/05/2012 00:00,28.8,ug m-3,R
HK6,NO,14/05/2012 00:00,34.9,ug m-3,R
HK6,NO,15/05/2012 00:00,65.5,ug m-3,R
HK6,NO,16/05/2012 00:00,65.1,ug m-3,R
HK6,NO,17/05/2012 00:00,42.1,ug m-3,R
HK6,NO,18/05/2012 00:00,50,ug m-3,R
HK6,NO,19/05/2012 00:00,28.5,ug m-3,R
HK6,NO,20/05/2012 00:00,14,ug m-3,R
HK6,NO,21/05/2012 00:00,21.7,ug m-3,R
HK6,NO,22/05/2012 00:00,26.8,ug m-3,R
HK6,NO,23/05/2012 00:00,31,ug m-3,R
HK6,NO,24/05/2012 00:00,41.6,ug m-3,R
HK6,NO,25/05/2012 00:00,46.8,ug m-3,R
HK6,NO,26/05/2012 00:00,28.8,ug m-3,R
HK6,NO,27/05/2012 00:00,23.1,ug m-3,R
HK6,NO,28/05/2012 00:00,50.6,ug m-3,R
HK6,NO,29/05/2012 00:00,37.1,ug m-3,R
HK6,NO,30/05/2012 00:00,47.3,ug m-3,R
HK6,NO,31/05/2012 00:00,72.4,ug m-3,R
HK6,NO,01/06/2012 00:00,72,ug m-3,R
HK6,NO,02/06/2012 00:00,26.8,ug m-3,R
HK6,NO,03/06/2012 00:00,21.1,ug m-3,R
HK6,NO,04/06/2012 00:00,15.8,ug m-3,R
HK6,NO,05/06/2012 00:00,32,ug m-3,R
HK6,NO,06/06/2012 00:00,30.7,ug m-3,R
HK6,NO,07/06/2012 00:00,39,ug m-3,R
HK6,NO,08/06/2012 00:00,26,ug m-3,R
HK6,NO,09/06/2012 00:00,38.5,ug m-3,R
HK6,NO,10/06/2012 00:00,28.3,ug m-3,R
HK6,NO,11/06/2012 00:00,19.5,ug m-3,R
HK6,NO,12/06/2012 00:00,21.9,ug m-3,R
HK6,NO,13/06/2012 00:00,50.8,ug m-3,R
