Date,Start hour,Casual hires at terminal
11/01/2012,12,223
11/01/2012,13,247
11/01/2012,14,203
11/01/2012,15,236
11/01/2012,16,229
11/01/2012,17,308
11/01/2012,18,289
11/01/2012,19,222
11/01/2012,20,166
11/01/2012,21,132
11/01/2012,22,87
11/01/2012,23,90
12/01/2012,0,42
12/01/2012,1,38
12/01/2012,2,26
12/01/2012,3,15
12/01/2012,4,15
12/01/2012,5,17
12/01/2012,6,54
12/01/2012,7,122
12/01/2012,8,302
12/01/2012,9,212
12/01/2012,10,122
12/01/2012,11,140
12/01/2012,12,206
12/01/2012,13,209
12/01/2012,14,207
12/01/2012,15,267
12/01/2012,16,261
12/01/2012,17,313
12/01/2012,18,313
12/01/2012,19,211
12/01/2012,20,149
12/01/2012,21,133
12/01/2012,22,113
12/01/2012,23,88
13/01/2012,0,82
13/01/2012,1,26
13/01/2012,2,32
13/01/2012,3,22
13/01/2012,4,9
13/01/2012,5,14
13/01/2012,6,45
13/01/2012,7,90
13/01/2012,8,288
13/01/2012,9,235
13/01/2012,10,138
13/01/2012,11,164
13/01/2012,12,239
13/01/2012,13,287
13/01/2012,14,270
13/01/2012,15,319
13/01/2012,16,234
13/01/2012,17,328
13/01/2012,18,262
13/01/2012,19,169
13/01/2012,20,150
13/01/2012,21,87
13/01/2012,22,116
13/01/2012,23,121
14/01/2012,0,107
14/01/2012,1,107
14/01/2012,2,116
14/01/2012,3,82
14/01/2012,4,40
14/01/2012,5,19
14/01/2012,6,18
14/01/2012,7,31
14/01/2012,8,51
14/01/2012,9,134
14/01/2012,10,233
14/01/2012,11,385
14/01/2012,12,551
14/01/2012,13,651
14/01/2012,14,722
14/01/2012,15,776
14/01/2012,16,544
14/01/2012,17,318
14/01/2012,18,298
14/01/2012,19,227
14/01/2012,20,169
14/01/2012,21,119
14/01/2012,22,115
14/01/2012,23,126
15/01/2012,0,112
15/01/2012,1,93
15/01/2012,2,110
15/01/2012,3,76
15/01/2012,4,66
15/01/2012,5,26
15/01/2012,6,15
15/01/2012,7,13
15/01/2012,8,39
15/01/2012,9,131
15/01/2012,10,263
15/01/2012,11,420
15/01/2012,12,608
15/01/2012,13,727
15/01/2012,14,723
15/01/2012,15,650
15/01/2012,16,435
15/01/2012,17,232
15/01/2012,18,202
15/01/2012,19,157
15/01/2012,20,89
15/01/2012,21,78
15/01/2012,22,38
15/01/2012,23,61
16/01/2012,0,43
16/01/2012,1,22
16/01/2012,2,24
16/01/2012,3,10
16/01/2012,4,7
16/01/2012,5,7
16/01/2012,6,22
16/01/2012,7,84
16/01/2012,8,242
16/01/2012,9,172
16/01/2012,10,123
16/01/2012,11,132
16/01/2012,12,168
16/01/2012,13,205
16/01/2012,14,224
16/01/2012,15,256
16/01/2012,16,222
16/01/2012,17,265
16/01/2012,18,254
16/01/2012,19,144
16/01/2012,20,130
16/01/2012,21,94
16/01/2012,22,80
16/01/2012,23,60
17/01/2012,0,26
17/01/2012,1,21
17/01/2012,2,14
17/01/2012,3,12
17/01/2012,4,9
17/01/2012,5,8
17/01/2012,6,41
17/01/2012,7,98
17/01/2012,8,307
17/01/2012,9,206
17/01/2012,10,141
17/01/2012,11,177
17/01/2012,12,198
17/01/2012,13,179
17/01/2012,14,216
17/01/2012,15,211
17/01/2012,16,244
17/01/2012,17,289
17/01/2012,18,327
17/01/2012,19,194
17/01/2012,20,134
17/01/2012,21,115
17/01/2012,22,102
17/01/2012,23,69
18/01/2012,0,50
18/01/2012,1,38
18/01/2012,2,20
18/01/2012,3,12
18/01/2012,4,15
18/01/2012,5,10
18/01/2012,6,26
