Date,Start hour,Member hires made through the app
26/05/2015,12,6
26/05/2015,13,7
26/05/2015,14,16
26/05/2015,15,11
26/05/2015,16,17
26/05/2015,17,37
26/05/2015,18,33
26/05/2015,19,31
26/05/2015,20,13
26/05/2015,21,5
26/05/2015,22,12
26/05/2015,23,5
27/05/2015,0,2
27/05/2015,3,1
27/05/2015,6,5
27/05/2015,7,12
27/05/2015,8,48
27/05/2015,9,19
27/05/2015,10,12
27/05/2015,11,6
27/05/2015,12,20
27/05/2015,13,16
27/05/2015,14,19
27/05/2015,15,15
27/05/2015,16,16
27/05/2015,17,35
27/05/2015,18,38
27/05/2015,19,20
27/05/2015,20,17
27/05/2015,21,11
27/05/2015,22,4
27/05/2015,23,8
28/05/2015,0,2
28/05/2015,1,1
28/05/2015,3,1
28/05/2015,5,1
28/05/2015,6,7
28/05/2015,7,17
28/05/2015,8,50
28/05/2015,9,25
28/05/2015,10,13
28/05/2015,11,11
28/05/2015,12,15
28/05/2015,13,17
28/05/2015,14,12
28/05/2015,15,10
28/05/2015,16,11
28/05/2015,17,33
28/05/2015,18,37
28/05/2015,19,21
28/05/2015,20,11
28/05/2015,21,12
28/05/2015,22,6
28/05/2015,23,5
29/05/2015,0,4
29/05/2015,1,2
29/05/2015,2,1
29/05/2015,6,3
29/05/2015,7,24
29/05/2015,8,50
29/05/2015,9,23
29/05/2015,10,7
29/05/2015,11,5
29/05/2015,12,11
29/05/2015,13,14
29/05/2015,14,14
29/05/2015,15,11
29/05/2015,16,12
29/05/2015,17,19
29/05/2015,18,33
29/05/2015,19,17
29/05/2015,20,13
29/05/2015,21,8
29/05/2015,22,7
29/05/2015,23,5
30/05/2015,0,5
30/05/2015,1,2
30/05/2015,2,1
30/05/2015,4,1
30/05/2015,6,2
30/05/2015,8,7
30/05/2015,9,12
30/05/2015,10,18
30/05/2015,11,14
30/05/2015,12,19
30/05/2015,13,28
30/05/2015,14,29
30/05/2015,15,30
30/05/2015,16,33
30/05/2015,17,30
30/05/2015,18,22
30/05/2015,19,17
30/05/2015,20,10
30/05/2015,21,8
30/05/2015,22,10
30/05/2015,23,13
31/05/2015,0,7
31/05/2015,2,2
31/05/2015,3,1
31/05/2015,6,1
31/05/2015,7,1
31/05/2015,8,4
31/05/2015,9,5
31/05/2015,10,5
31/05/2015,11,6
31/05/2015,12,6
31/05/2015,13,11
31/05/2015,14,9
31/05/2015,15,8
31/05/2015,16,7
31/05/2015,17,10
31/05/2015,18,8
31/05/2015,19,8
31/05/2015,20,9
31/05/2015,21,12
31/05/2015,22,5
31/05/2015,23,4
01/06/2015,0,1
01/06/2015,5,2
01/06/2015,6,4
01/06/2015,7,22
01/06/2015,8,58
01/06/2015,9,21
01/06/2015,10,7
01/06/2015,11,11
01/06/2015,12,13
01/06/2015,13,17
01/06/2015,14,7
01/06/2015,15,10
01/06/2015,16,16
01/06/2015,17,35
01/06/2015,18,56
01/06/2015,19,19
01/06/2015,20,15
01/06/2015,21,1
01/06/2015,22,3
01/06/2015,23,2
02/06/2015,0,1
02/06/2015,2,1
02/06/2015,5,1
02/06/2015,6,3
02/06/2015,7,27
02/06/2015,8,53
02/06/2015,9,24
02/06/2015,10,11
02/06/2015,11,12
02/06/2015,12,15
02/06/2015,13,14
02/06/2015,14,9
02/06/2015,15,12
02/06/2015,16,14
02/06/2015,17,49
02/06/2015,18,41
02/06/2015,19,40
02/06/2015,20,19
02/06/2015,21,9
02/06/2015,22,7
02/06/2015,23,9
03/06/2015,0,1
03/06/2015,1,1
03/06/2015,3,1
03/06/2015,5,2
03/06/2015,6,9
03/06/2015,7,28
03/06/2015,8,69
03/06/2015,9,20
03/06/2015,10,16
03/06/2015,11,22
03/06/2015,12,28
03/06/2015,13,29
03/06/2015,14,23
03/06/2015,15,25
03/06/2015,16,37
03/06/2015,17,66
03/06/2015,18,79
03/06/2015,19,37
03/06/2015,20,26
03/06/2015,21,19
03/06/2015,22,17
03/06/2015,23,13
04/06/2015,0,5
04/06/2015,1,2
04/06/2015,3,1
04/06/2015,5,1
04/06/2015,6,8
04/06/2015,7,54
04/06/2015,8,85
04/06/2015,9,43
04/06/2015,10,14
04/06/2015,11,17
04/06/2015,12,24
04/06/2015,13,27
04/06/2015,14,34
04/06/2015,15,24
04/06/2015,16,33
04/06/2015,17,65
04/06/2015,18,70
04/06/2015,19,44
04/06/2015,20,21
04/06/2015,21,26
04/06/2015,22,14
04/06/2015,23,15
05/06/2015,0,2
05/06/2015,1,4
05/06/2015,2,1
05/06/2015,5,1
05/06/2015,6,8
05/06/2015,7,35
05/06/2015,8,86
05/06/2015,9,37
05/06/2015,10,23
05/06/2015,11,12
05/06/2015,12,27
05/06/2015,13,40
05/06/2015,14,26
05/06/2015,15,28
05/06/2015,16,42
05/06/2015,17,75
05/06/2015,18,48
05/06/2015,19,29
05/06/2015,20,24
05/06/2015,21,12
05/06/2015,22,8
05/06/2015,23,9
06/06/2015,0,4
06/06/2015,1,2
06/06/2015,2,5
06/06/2015,3,1
06/06/2015,7,8
06/06/2015,8,13
06/06/2015,9,15
06/06/2015,10,20
06/06/2015,11,28
06/06/2015,12,31
06/06/2015,13,48
06/06/2015,14,43
06/06/2015,15,44
06/06/2015,16,35
06/06/2015,17,30
06/06/2015,18,39
06/06/2015,19,20
06/06/2015,20,10
06/06/2015,21,13
06/06/2015,22,11
06/06/2015,23,9
07/06/2015,0,9
07/06/2015,1,3
07/06/2015,2,2
07/06/2015,3,3
07/06/2015,6,1
07/06/2015,7,1
07/06/2015,8,10
07/06/2015,9,9
07/06/2015,10,18
07/06/2015,11,24
07/06/2015,12,30
07/06/2015,13,35
07/06/2015,14,42
07/06/2015,15,50
07/06/2015,16,32
07/06/2015,17,38
07/06/2015,18,40
07/06/2015,19,37
07/06/2015,20,30
07/06/2015,21,11
07/06/2015,22,10
07/06/2015,23,4
08/06/2015,0,1
08/06/2015,2,1
08/06/2015,5,2
08/06/2015,6,14
08/06/2015,7,46
08/06/2015,8,83
08/06/2015,9,40
08/06/2015,10,18
08/06/2015,11,18
08/06/2015,12,18
08/06/2015,13,21
08/06/2015,14,35
08/06/2015,15,32
08/06/2015,16,43
08/06/2015,17,75
08/06/2015,18,70
08/06/2015,19,39
08/06/2015,20,27
08/06/2015,21,20
08/06/2015,22,5
08/06/2015,23,3
09/06/2015,0,2
09/06/2015,1,1
09/06/2015,5,4
09/06/2015,6,15
09/06/2015,7,52
09/06/2015,8,105
09/06/2015,9,36
09/06/2015,10,25
09/06/2015,11,19
09/06/2015,12,30
09/06/2015,13,27
09/06/2015,14,16
09/06/2015,15,23
09/06/2015,16,44
09/06/2015,17,90
09/06/2015,18,85
09/06/2015,19,37
09/06/2015,20,27
09/06/2015,21,22
09/06/2015,22,4
09/06/2015,23,8
10/06/2015,0,2
10/06/2015,1,1
10/06/2015,5,3
10/06/2015,6,14
10/06/2015,7,52
10/06/2015,8,90
10/06/2015,9,16
10/06/2015,10,18
10/06/2015,11,27
10/06/2015,12,38
10/06/2015,13,24
10/06/2015,14,18
10/06/2015,15,25
10/06/2015,16,51
10/06/2015,17,81
10/06/2015,18,74
10/06/2015,19,45
10/06/2015,20,32
10/06/2015,21,21
10/06/2015,22,10
10/06/2015,23,8
11/06/2015,0,3
11/06/2015,1,1
11/06/2015,3,1
11/06/2015,5,1
11/06/2015,6,12
11/06/2015,7,50
11/06/2015,8,105
11/06/2015,9,40
11/06/2015,10,42
11/06/2015,11,18
11/06/2015,12,25
11/06/2015,13,23
11/06/2015,14,33
11/06/2015,15,25
11/06/2015,16,44
11/06/2015,17,80
11/06/2015,18,72
11/06/2015,19,47
11/06/2015,20,31
11/06/2015,21,24
11/06/2015,22,13
11/06/2015,23,15
12/06/2015,0,4
12/06/2015,1,3
12/06/2015,2,2
12/06/2015,3,1
12/06/2015,4,1
12/06/2015,5,4
12/06/2015,6,16
12/06/2015,7,38
12/06/2015,8,91
12/06/2015,9,51
12/06/2015,10,13
12/06/2015,11,28
12/06/2015,12,45
12/06/2015,13,27
12/06/2015,14,20
12/06/2015,15,23
12/06/2015,16,53
12/06/2015,17,77
12/06/2015,18,56
12/06/2015,19,44
12/06/2015,20,11
12/06/2015,21,9
12/06/2015,22,15
12/06/2015,23,12
13/06/2015,0,10
13/06/2015,1,3
13/06/2015,2,2
13/06/2015,3,2
13/06/2015,6,4
13/06/2015,7,2
13/06/2015,8,9
13/06/2015,9,15
13/06/2015,10,17
13/06/2015,11,27
13/06/2015,12,27
13/06/2015,13,27
13/06/2015,14,36
13/06/2015,15,33
13/06/2015,16,43
13/06/2015,17,37
13/06/2015,18,32
13/06/2015,19,24
13/06/2015,20,15
13/06/2015,21,12
13/06/2015,22,12
13/06/2015,23,5
14/06/2015,0,4
14/06/2015,2,2
14/06/2015,6,1
14/06/2015,8,2
14/06/2015,9,2
14/06/2015,10,8
14/06/2015,11,5
14/06/2015,12,13
14/06/2015,13,16
14/06/2015,14,13
14/06/2015,15,18
14/06/2015,16,11
14/06/2015,17,8
14/06/2015,18,25
14/06/2015,19,24
14/06/2015,20,19
14/06/2015,21,10
14/06/2015,22,6
14/06/2015,23,2
15/06/2015,0,1
15/06/2015,1,1
15/06/2015,5,3
15/06/2015,6,16
15/06/2015,7,49
15/06/2015,8,102
15/06/2015,9,60
15/06/2015,10,19
15/06/2015,11,21
15/06/2015,12,30
15/06/2015,13,29
15/06/2015,14,28
15/06/2015,15,26
15/06/2015,16,40
15/06/2015,17,99
15/06/2015,18,91
15/06/2015,19,52
15/06/2015,20,34
15/06/2015,21,28
15/06/2015,22,18
15/06/2015,23,9
16/06/2015,0,2
16/06/2015,1,3
16/06/2015,2,1
16/06/2015,3,1
16/06/2015,4,1
16/06/2015,5,5
16/06/2015,6,15
16/06/2015,7,64
16/06/2015,8,99
16/06/2015,9,58
16/06/2015,10,27
16/06/2015,11,33
16/06/2015,12,37
16/06/2015,13,38
16/06/2015,14,30
16/06/2015,15,29
16/06/2015,16,50
16/06/2015,17,82
16/06/2015,18,110
16/06/2015,19,58
16/06/2015,20,39
16/06/2015,21,35
16/06/2015,22,13
16/06/2015,23,6
17/06/2015,0,6
17/06/2015,1,1
17/06/2015,2,2
17/06/2015,3,2
17/06/2015,5,4
17/06/2015,6,15
17/06/2015,7,63
17/06/2015,8,130
17/06/2015,9,60
17/06/2015,10,23
17/06/2015,11,23
17/06/2015,12,37
17/06/2015,13,40
17/06/2015,14,29
17/06/2015,15,39
17/06/2015,16,38
17/06/2015,17,100
17/06/2015,18,94
