Date,Start hour,Member hires made through the app
11/10/2015,18,93
11/10/2015,19,58
11/10/2015,20,26
11/10/2015,21,31
11/10/2015,22,21
11/10/2015,23,9
12/10/2015,0,7
12/10/2015,1,4
12/10/2015,2,2
12/10/2015,3,2
12/10/2015,4,5
12/10/2015,5,11
12/10/2015,6,41
12/10/2015,7,146
12/10/2015,8,330
12/10/2015,9,184
12/10/2015,10,51
12/10/2015,11,58
12/10/2015,12,87
12/10/2015,13,72
12/10/2015,14,61
12/10/2015,15,68
12/10/2015,16,101
12/10/2015,17,243
12/10/2015,18,289
12/10/2015,19,118
12/10/2015,20,90
12/10/2015,21,61
12/10/2015,22,27
12/10/2015,23,17
13/10/2015,0,10
13/10/2015,1,2
13/10/2015,2,4
13/10/2015,3,2
13/10/2015,4,5
13/10/2015,5,14
13/10/2015,6,48
13/10/2015,7,174
13/10/2015,8,359
13/10/2015,9,172
13/10/2015,10,83
13/10/2015,11,71
13/10/2015,12,80
13/10/2015,13,86
13/10/2015,14,61
13/10/2015,15,77
13/10/2015,16,104
13/10/2015,17,252
13/10/2015,18,239
13/10/2015,19,135
13/10/2015,20,87
13/10/2015,21,75
13/10/2015,22,46
13/10/2015,23,25
14/10/2015,0,8
14/10/2015,1,7
14/10/2015,2,2
14/10/2015,4,1
14/10/2015,5,11
14/10/2015,6,55
14/10/2015,7,162
14/10/2015,8,340
14/10/2015,9,191
14/10/2015,10,88
14/10/2015,11,68
14/10/2015,12,75
14/10/2015,13,78
14/10/2015,14,62
14/10/2015,15,74
14/10/2015,16,128
14/10/2015,17,183
14/10/2015,18,227
14/10/2015,19,136
14/10/2015,20,71
14/10/2015,21,60
14/10/2015,22,44
14/10/2015,23,39
15/10/2015,0,13
15/10/2015,1,6
15/10/2015,2,3
15/10/2015,3,2
15/10/2015,4,4
15/10/2015,5,4
15/10/2015,6,52
15/10/2015,7,163
15/10/2015,8,309
15/10/2015,9,170
15/10/2015,10,70
15/10/2015,11,48
15/10/2015,12,74
15/10/2015,13,74
15/10/2015,14,55
15/10/2015,15,43
15/10/2015,16,74
15/10/2015,17,218
15/10/2015,18,197
15/10/2015,19,132
15/10/2015,20,77
15/10/2015,21,57
15/10/2015,22,42
15/10/2015,23,32
16/10/2015,0,16
16/10/2015,1,9
16/10/2015,2,4
16/10/2015,3,2
16/10/2015,5,10
16/10/2015,6,43
16/10/2015,7,112
16/10/2015,8,288
16/10/2015,9,171
16/10/2015,10,51
16/10/2015,11,55
16/10/2015,12,68
16/10/2015,13,75
16/10/2015,14,51
16/10/2015,15,70
16/10/2015,16,87
16/10/2015,17,200
16/10/2015,18,149
16/10/2015,19,96
16/10/2015,20,58
16/10/2015,21,35
16/10/2015,22,26
16/10/2015,23,23
17/10/2015,0,21
17/10/2015,1,17
17/10/2015,2,8
17/10/2015,3,7
17/10/2015,4,4
17/10/2015,5,4
17/10/2015,6,4
17/10/2015,7,23
17/10/2015,8,37
17/10/2015,9,61
17/10/2015,10,66
17/10/2015,11,88
17/10/2015,12,121
17/10/2015,13,91
17/10/2015,14,80
17/10/2015,15,90
17/10/2015,16,83
17/10/2015,17,78
17/10/2015,18,61
17/10/2015,19,49
17/10/2015,20,25
17/10/2015,21,23
17/10/2015,22,20
17/10/2015,23,29
18/10/2015,0,22
18/10/2015,1,12
18/10/2015,2,7
18/10/2015,3,10
18/10/2015,4,5
18/10/2015,5,2
18/10/2015,6,2
18/10/2015,7,7
18/10/2015,8,26
18/10/2015,9,46
18/10/2015,10,68
18/10/2015,11,85
18/10/2015,12,92
18/10/2015,13,91
18/10/2015,14,113
18/10/2015,15,97
18/10/2015,16,77
18/10/2015,17,63
18/10/2015,18,66
18/10/2015,19,35
18/10/2015,20,35
18/10/2015,21,27
18/10/2015,22,25
18/10/2015,23,14
19/10/2015,0,9
19/10/2015,1,6
19/10/2015,2,3
19/10/2015,3,2
19/10/2015,4,6
19/10/2015,5,14
19/10/2015,6,51
19/10/2015,7,160
19/10/2015,8,284
19/10/2015,9,181
19/10/2015,10,63
19/10/2015,11,49
19/10/2015,12,76
19/10/2015,13,71
19/10/2015,14,69
19/10/2015,15,81
19/10/2015,16,102
19/10/2015,17,231
19/10/2015,18,251
19/10/2015,19,134
19/10/2015,20,82
19/10/2015,21,52
19/10/2015,22,30
19/10/2015,23,26
20/10/2015,0,12
20/10/2015,1,7
20/10/2015,2,3
20/10/2015,3,2
20/10/2015,4,2
20/10/2015,5,14
20/10/2015,6,57
20/10/2015,7,148
20/10/2015,8,330
20/10/2015,9,178
20/10/2015,10,82
20/10/2015,11,65
20/10/2015,12,87
20/10/2015,13,90
20/10/2015,14,69
20/10/2015,15,75
20/10/2015,16,107
20/10/2015,17,259
20/10/2015,18,268
20/10/2015,19,128
20/10/2015,20,95
20/10/2015,21,61
20/10/2015,22,42
20/10/2015,23,31
21/10/2015,0,13
21/10/2015,1,3
21/10/2015,2,4
21/10/2015,4,2
21/10/2015,5,14
21/10/2015,6,28
21/10/2015,7,111
21/10/2015,8,155
21/10/2015,9,60
21/10/2015,10,25
21/10/2015,11,23
21/10/2015,12,22
21/10/2015,13,32
21/10/2015,14,32
21/10/2015,15,48
21/10/2015,16,83
21/10/2015,17,181
21/10/2015,18,187
21/10/2015,19,127
21/10/2015,20,67
21/10/2015,21,49
21/10/2015,22,37
21/10/2015,23,19
22/10/2015,0,21
22/10/2015,1,7
22/10/2015,2,6
22/10/2015,3,1
22/10/2015,4,2
22/10/2015,5,18
22/10/2015,6,52
22/10/2015,7,149
22/10/2015,8,296
22/10/2015,9,180
22/10/2015,10,71
22/10/2015,11,45
22/10/2015,12,76
22/10/2015,13,71
22/10/2015,14,60
22/10/2015,15,70
22/10/2015,16,93
22/10/2015,17,238
22/10/2015,18,226
22/10/2015,19,156
22/10/2015,20,79
22/10/2015,21,55
22/10/2015,22,39
22/10/2015,23,25
23/10/2015,0,20
23/10/2015,1,9
23/10/2015,2,4
23/10/2015,4,3
23/10/2015,5,15
23/10/2015,6,54
23/10/2015,7,115
23/10/2015,8,287
23/10/2015,9,151
23/10/2015,10,66
23/10/2015,11,49
23/10/2015,12,80
23/10/2015,13,85
23/10/2015,14,62
23/10/2015,15,74
23/10/2015,16,105
23/10/2015,17,190
23/10/2015,18,148
23/10/2015,19,93
23/10/2015,20,60
23/10/2015,21,38
23/10/2015,22,27
23/10/2015,23,37
24/10/2015,0,21
24/10/2015,1,13
24/10/2015,2,11
24/10/2015,3,6
24/10/2015,4,8
24/10/2015,5,3
24/10/2015,6,8
24/10/2015,7,19
24/10/2015,8,28
24/10/2015,9,64
24/10/2015,10,58
24/10/2015,11,63
24/10/2015,12,85
24/10/2015,13,65
24/10/2015,14,59
24/10/2015,15,62
24/10/2015,16,50
24/10/2015,17,36
24/10/2015,18,21
24/10/2015,19,34
24/10/2015,20,33
24/10/2015,21,14
24/10/2015,22,17
24/10/2015,23,24
25/10/2015,0,21
25/10/2015,1,27
25/10/2015,2,6
25/10/2015,3,5
25/10/2015,4,3
25/10/2015,5,3
25/10/2015,6,3
25/10/2015,7,14
25/10/2015,8,20
25/10/2015,9,41
25/10/2015,10,57
25/10/2015,11,68
25/10/2015,12,83
25/10/2015,13,98
25/10/2015,14,100
25/10/2015,15,92
25/10/2015,16,71
25/10/2015,17,71
25/10/2015,18,61
25/10/2015,19,37
25/10/2015,20,40
25/10/2015,21,31
25/10/2015,22,18
25/10/2015,23,17
26/10/2015,0,13
26/10/2015,2,2
26/10/2015,3,3
26/10/2015,5,11
26/10/2015,6,45
26/10/2015,7,149
26/10/2015,8,323
26/10/2015,9,144
26/10/2015,10,50
26/10/2015,11,41
26/10/2015,12,66
26/10/2015,13,67
26/10/2015,14,43
26/10/2015,15,69
26/10/2015,16,99
26/10/2015,17,206
26/10/2015,18,229
26/10/2015,19,138
26/10/2015,20,91
26/10/2015,21,52
26/10/2015,22,32
26/10/2015,23,17
27/10/2015,0,9
27/10/2015,1,5
27/10/2015,2,2
27/10/2015,3,2
27/10/2015,4,1
27/10/2015,5,10
27/10/2015,6,58
27/10/2015,7,173
27/10/2015,8,328
27/10/2015,9,147
27/10/2015,10,73
27/10/2015,11,54
27/10/2015,12,81
27/10/2015,13,78
27/10/2015,14,60
27/10/2015,15,62
27/10/2015,16,92
27/10/2015,17,231
27/10/2015,18,254
27/10/2015,19,135
27/10/2015,20,83
27/10/2015,21,52
27/10/2015,22,37
27/10/2015,23,21
28/10/2015,0,11
28/10/2015,1,4
28/10/2015,2,3
28/10/2015,3,1
28/10/2015,4,1
28/10/2015,5,5
28/10/2015,6,19
28/10/2015,7,59
28/10/2015,8,132
28/10/2015,9,90
28/10/2015,10,69
28/10/2015,11,42
28/10/2015,12,83
28/10/2015,13,85
28/10/2015,14,51
28/10/2015,15,73
28/10/2015,16,107
28/10/2015,17,176
28/10/2015,18,190
28/10/2015,19,120
28/10/2015,20,65
28/10/2015,21,64
28/10/2015,22,31
28/10/2015,23,17
29/10/2015,0,10
29/10/2015,1,4
29/10/2015,2,4
29/10/2015,3,1
29/10/2015,5,6
29/10/2015,6,50
29/10/2015,7,153
29/10/2015,8,323
29/10/2015,9,163
29/10/2015,10,74
29/10/2015,11,49
29/10/2015,12,71
29/10/2015,13,82
29/10/2015,14,49
29/10/2015,15,65
29/10/2015,16,95
29/10/2015,17,178
29/10/2015,18,144
29/10/2015,19,91
29/10/2015,20,49
29/10/2015,21,35
29/10/2015,22,24
29/10/2015,23,22
30/10/2015,0,24
30/10/2015,1,11
30/10/2015,2,7
30/10/2015,3,3
30/10/2015,4,2
30/10/2015,5,11
30/10/2015,6,37
30/10/2015,7,71
30/10/2015,8,134
30/10/2015,9,94
30/10/2015,10,48
30/10/2015,11,50
30/10/2015,12,75
30/10/2015,13,89
30/10/2015,14,74
30/10/2015,15,59
30/10/2015,16,97
30/10/2015,17,182
30/10/2015,18,152
30/10/2015,19,85
30/10/2015,20,51
30/10/2015,21,43
30/10/2015,22,18
30/10/2015,23,25
31/10/2015,0,28
31/10/2015,1,20
31/10/2015,2,11
31/10/2015,3,12
31/10/2015,4,7
31/10/2015,5,7
31/10/2015,6,5
31/10/2015,7,7
31/10/2015,8,37
31/10/2015,9,69
31/10/2015,10,80
31/10/2015,11,110
31/10/2015,12,111
31/10/2015,13,107
31/10/2015,14,118
31/10/2015,15,138
31/10/2015,16,74
31/10/2015,17,66
31/10/2015,18,59
31/10/2015,19,51
31/10/2015,20,35
31/10/2015,21,33
31/10/2015,22,25
31/10/2015,23,20
01/11/2015,0,22
01/11/2015,1,22
01/11/2015,2,22
01/11/2015,3,7
01/11/2015,4,4
01/11/2015,5,5
01/11/2015,6,4
01/11/2015,7,7
01/11/2015,8,15
01/11/2015,9,39
01/11/2015,10,53
01/11/2015,11,67
01/11/2015,12,81
01/11/2015,13,90
01/11/2015,14,88
01/11/2015,15,91
01/11/2015,16,94
01/11/2015,17,81
01/11/2015,18,58
01/11/2015,19,39
01/11/2015,20,27
01/11/2015,21,27
01/11/2015,22,18
01/11/2015,23,14
02/11/2015,0,11
02/11/2015,1,3
02/11/2015,2,1
02/11/2015,4,5
02/11/2015,5,13
02/11/2015,6,40
02/11/2015,7,158
02/11/2015,8,320
02/11/2015,9,148
02/11/2015,10,73
02/11/2015,11,45
02/11/2015,12,56
02/11/2015,13,66
02/11/2015,14,42
02/11/2015,15,73
02/11/2015,16,104
02/11/2015,17,243
02/11/2015,18,214
02/11/2015,19,121
02/11/2015,20,87
02/11/2015,21,46
02/11/2015,22,40
02/11/2015,23,21
03/11/2015,0,5
03/11/2015,1,2
03/11/2015,2,4
03/11/2015,3,1
03/11/2015,5,11
03/11/2015,6,61
03/11/2015,7,177
03/11/2015,8,352
03/11/2015,9,162
03/11/2015,10,42
03/11/2015,11,60
03/11/2015,12,67
03/11/2015,13,70
03/11/2015,14,55
03/11/2015,15,81
03/11/2015,16,99
03/11/2015,17,270
03/11/2015,18,227
03/11/2015,19,153
03/11/2015,20,84
03/11/2015,21,63
03/11/2015,22,50
03/11/2015,23,18
04/11/2015,0,14
04/11/2015,1,4
04/11/2015,2,5
04/11/2015,3,2
04/11/2015,4,4
04/11/2015,5,9
04/11/2015,6,27
04/11/2015,7,87
04/11/2015,8,134
04/11/2015,9,100
04/11/2015,10,56
04/11/2015,11,52
04/11/2015,12,75
04/11/2015,13,66
04/11/2015,14,64
04/11/2015,15,60
04/11/2015,16,106
04/11/2015,17,232
04/11/2015,18,215
04/11/2015,19,127
04/11/2015,20,70
04/11/2015,21,51
04/11/2015,22,35
04/11/2015,23,24
05/11/2015,0,13
05/11/2015,1,4
05/11/2015,2,4
05/11/2015,4,5
05/11/2015,5,4
05/11/2015,6,46
05/11/2015,7,145
05/11/2015,8,308
05/11/2015,9,162
05/11/2015,10,66
05/11/2015,11,56
05/11/2015,12,81
05/11/2015,13,74
05/11/2015,14,40
05/11/2015,15,37
05/11/2015,16,51
05/11/2015,17,146
05/11/2015,18,170
05/11/2015,19,115
05/11/2015,20,81
05/11/2015,21,45
05/11/2015,22,40
05/11/2015,23,30
06/11/2015,0,18
06/11/2015,1,7
06/11/2015,2,8
06/11/2015,3,2
06/11/2015,4,2
06/11/2015,5,9
06/11/2015,6,52
06/11/2015,7,140
06/11/2015,8,279
06/11/2015,9,101
06/11/2015,10,33
06/11/2015,11,38
06/11/2015,12,61
06/11/2015,13,75
06/11/2015,14,53
06/11/2015,15,72
06/11/2015,16,102
06/11/2015,17,182
06/11/2015,18,153
06/11/2015,19,80
06/11/2015,20,52
06/11/2015,21,43
06/11/2015,22,34
06/11/2015,23,27
07/11/2015,0,22
07/11/2015,1,20
07/11/2015,2,11
07/11/2015,3,7
07/11/2015,4,1
07/11/2015,5,1
07/11/2015,6,7
07/11/2015,7,15
07/11/2015,8,24
07/11/2015,9,34
07/11/2015,10,49
07/11/2015,11,30
07/11/2015,12,28
07/11/2015,13,49
07/11/2015,14,45
07/11/2015,15,64
07/11/2015,16,65
07/11/2015,17,73
07/11/2015,18,70
07/11/2015,19,61
07/11/2015,20,43
07/11/2015,21,24
07/11/2015,22,20
07/11/2015,23,21
08/11/2015,0,26
08/11/2015,1,15
08/11/2015,2,8
08/11/2015,3,11
08/11/2015,4,3
08/11/2015,5,2
08/11/2015,6,10
08/11/2015,7,13
08/11/2015,8,20
08/11/2015,9,39
08/11/2015,10,44
08/11/2015,11,73
08/11/2015,12,90
08/11/2015,13,92
08/11/2015,14,84
08/11/2015,15,97
08/11/2015,16,77
08/11/2015,17,70
08/11/2015,18,53
08/11/2015,19,52
08/11/2015,20,35
08/11/2015,21,22
08/11/2015,22,19
08/11/2015,23,16
09/11/2015,0,9
09/11/2015,1,1
09/11/2015,2,4
09/11/2015,4,3
09/11/2015,5,5
09/11/2015,6,46
09/11/2015,7,161
09/11/2015,8,288
09/11/2015,9,187
09/11/2015,10,45
09/11/2015,11,53
09/11/2015,12,59
09/11/2015,13,71
09/11/2015,14,51
09/11/2015,15,55
09/11/2015,16,102
09/11/2015,17,231
09/11/2015,18,217
09/11/2015,19,125
09/11/2015,20,99
09/11/2015,21,65
09/11/2015,22,26
09/11/2015,23,21
10/11/2015,0,9
10/11/2015,1,2
10/11/2015,2,3
10/11/2015,5,8
10/11/2015,6,50
10/11/2015,7,169
10/11/2015,8,358
10/11/2015,9,164
10/11/2015,10,59
10/11/2015,11,60
10/11/2015,12,67
10/11/2015,13,86
10/11/2015,14,63
10/11/2015,15,58
10/11/2015,16,105
10/11/2015,17,245
10/11/2015,18,240
10/11/2015,19,136
10/11/2015,20,96
10/11/2015,21,69
11/11/2015,4,1
11/11/2015,5,8
11/11/2015,6,51
11/11/2015,7,165
11/11/2015,8,353
11/11/2015,9,165
11/11/2015,10,86
11/11/2015,11,56
11/11/2015,12,65
11/11/2015,13,79
11/11/2015,14,56
11/11/2015,15,78
11/11/2015,16,112
11/11/2015,17,211
11/11/2015,18,189
11/11/2015,19,157
11/11/2015,20,86
11/11/2015,21,63
11/11/2015,22,59
11/11/2015,23,30
12/11/2015,3,1
12/11/2015,4,1
12/11/2015,5,13
12/11/2015,6,43
12/11/2015,7,160
12/11/2015,8,337
12/11/2015,9,147
12/11/2015,10,68
12/11/2015,11,53
12/11/2015,12,63
12/11/2015,13,63
12/11/2015,14,54
12/11/2015,15,76
12/11/2015,16,100
12/11/2015,17,208
12/11/2015,18,202
12/11/2015,19,118
12/11/2015,20,64
12/11/2015,21,37
12/11/2015,22,49
12/11/2015,23,25
13/11/2015,0,11
13/11/2015,1,6
13/11/2015,2,8
13/11/2015,5,17
13/11/2015,6,35
13/11/2015,7,103
13/11/2015,8,321
13/11/2015,9,157
13/11/2015,10,48
13/11/2015,11,51
13/11/2015,12,55
13/11/2015,13,46
13/11/2015,14,55
13/11/2015,15,46
13/11/2015,16,99
13/11/2015,17,164
13/11/2015,18,161
13/11/2015,19,87
13/11/2015,20,38
13/11/2015,21,25
13/11/2015,22,29
13/11/2015,23,29
14/11/2015,0,23
14/11/2015,1,10
14/11/2015,2,9
14/11/2015,3,7
14/11/2015,4,4
14/11/2015,5,3
14/11/2015,6,9
14/11/2015,7,16
14/11/2015,8,26
14/11/2015,9,25
14/11/2015,10,29
14/11/2015,11,29
14/11/2015,12,31
14/11/2015,13,43
14/11/2015,14,12
14/11/2015,15,16
14/11/2015,16,22
14/11/2015,17,29
14/11/2015,18,39
14/11/2015,19,27
14/11/2015,20,30
14/11/2015,21,29
14/11/2015,22,14
14/11/2015,23,16
15/11/2015,0,19
15/11/2015,1,13
15/11/2015,2,10
15/11/2015,3,3
15/11/2015,4,1
15/11/2015,5,3
15/11/2015,6,5
15/11/2015,7,9
15/11/2015,8,20
15/11/2015,9,31
15/11/2015,10,57
15/11/2015,11,60
15/11/2015,12,81
15/11/2015,13,65
15/11/2015,14,84
15/11/2015,15,73
15/11/2015,16,64
15/11/2015,17,64
15/11/2015,18,47
15/11/2015,19,33
15/11/2015,20,30
15/11/2015,21,21
15/11/2015,22,15
15/11/2015,23,11
16/11/2015,0,4
16/11/2015,2,4
16/11/2015,5,9
16/11/2015,6,38
16/11/2015,7,154
16/11/2015,8,334
16/11/2015,9,173
16/11/2015,10,63
16/11/2015,11,50
16/11/2015,12,71
16/11/2015,13,65
16/11/2015,14,66
16/11/2015,15,70
16/11/2015,16,96
16/11/2015,17,243
16/11/2015,18,226
16/11/2015,19,118
16/11/2015,20,92
16/11/2015,21,50
16/11/2015,22,9
16/11/2015,23,18
17/11/2015,0,5
17/11/2015,1,2
17/11/2015,2,1
17/11/2015,3,4
17/11/2015,4,1
17/11/2015,5,14
17/11/2015,6,49
17/11/2015,7,153
17/11/2015,8,352
17/11/2015,9,183
17/11/2015,10,62
17/11/2015,11,47
17/11/2015,12,44
17/11/2015,13,26
17/11/2015,14,34
17/11/2015,15,40
17/11/2015,16,74
17/11/2015,17,230
17/11/2015,18,233
17/11/2015,19,152
17/11/2015,20,88
17/11/2015,21,54
17/11/2015,22,45
17/11/2015,23,18
18/11/2015,0,8
18/11/2015,2,1
18/11/2015,3,1
18/11/2015,4,1
18/11/2015,5,8
18/11/2015,6,52
18/11/2015,7,173
18/11/2015,8,352
18/11/2015,9,170
18/11/2015,10,64
18/11/2015,11,55
18/11/2015,12,77
18/11/2015,13,91
18/11/2015,14,60
18/11/2015,15,34
18/11/2015,16,68
18/11/2015,17,210
18/11/2015,18,200
18/11/2015,19,144
18/11/2015,20,84
18/11/2015,21,50
18/11/2015,22,45
18/11/2015,23,29
19/11/2015,0,15
19/11/2015,1,3
19/11/2015,2,3
19/11/2015,3,1
19/11/2015,4,3
19/11/2015,5,10
19/11/2015,6,53
19/11/2015,7,162
19/11/2015,8,341
19/11/2015,9,153
19/11/2015,10,30
19/11/2015,11,20
19/11/2015,12,24
19/11/2015,13,31
19/11/2015,14,27
19/11/2015,15,46
19/11/2015,16,87
19/11/2015,17,209
19/11/2015,18,226
19/11/2015,19,123
19/11/2015,20,82
19/11/2015,21,54
19/11/2015,22,32
19/11/2015,23,49
20/11/2015,0,14
20/11/2015,1,6
20/11/2015,2,7
20/11/2015,3,4
20/11/2015,4,1
20/11/2015,5,12
20/11/2015,6,45
20/11/2015,7,137
20/11/2015,8,306
20/11/2015,9,160
20/11/2015,10,58
20/11/2015,11,56
20/11/2015,12,56
20/11/2015,13,80
20/11/2015,14,60
20/11/2015,15,62
20/11/2015,16,89
20/11/2015,17,179
20/11/2015,18,160
20/11/2015,19,77
20/11/2015,20,55
20/11/2015,21,24
20/11/2015,22,27
20/11/2015,23,20
21/11/2015,0,8
21/11/2015,1,14
21/11/2015,2,4
21/11/2015,3,5
21/11/2015,4,1
21/11/2015,5,1
21/11/2015,6,7
21/11/2015,7,7
21/11/2015,8,12
21/11/2015,9,16
21/11/2015,10,41
21/11/2015,11,61
21/11/2015,12,60
21/11/2015,13,72
21/11/2015,14,62
21/11/2015,15,62
21/11/2015,16,56
21/11/2015,17,40
21/11/2015,18,45
21/11/2015,19,27
21/11/2015,20,28
21/11/2015,21,16
21/11/2015,22,14
21/11/2015,23,13
22/11/2015,0,15
22/11/2015,1,13
22/11/2015,2,9
22/11/2015,3,5
22/11/2015,5,3
22/11/2015,6,6
22/11/2015,7,7
22/11/2015,8,10
22/11/2015,9,18
22/11/2015,10,47
22/11/2015,11,47
22/11/2015,12,77
22/11/2015,13,61
22/11/2015,14,65
22/11/2015,15,70
22/11/2015,16,52
22/11/2015,17,44
22/11/2015,18,32
22/11/2015,19,31
22/11/2015,20,19
22/11/2015,21,20
22/11/2015,22,19
22/11/2015,23,7
23/11/2015,0,1
23/11/2015,1,2
23/11/2015,2,1
23/11/2015,5,11
23/11/2015,6,36
23/11/2015,7,153
23/11/2015,8,315
23/11/2015,9,137
23/11/2015,10,62
23/11/2015,11,45
23/11/2015,12,60
23/11/2015,13,53
23/11/2015,14,52
23/11/2015,15,66
23/11/2015,16,101
23/11/2015,17,221
23/11/2015,18,200
23/11/2015,19,114
23/11/2015,20,64
23/11/2015,21,48
23/11/2015,22,26
23/11/2015,23,9
24/11/2015,0,5
24/11/2015,2,3
24/11/2015,5,7
24/11/2015,6,37
24/11/2015,7,109
24/11/2015,8,234
24/11/2015,9,120
24/11/2015,10,61
24/11/2015,11,43
24/11/2015,12,48
24/11/2015,13,58
24/11/2015,14,45
24/11/2015,15,52
24/11/2015,16,73
24/11/2015,17,196
24/11/2015,18,217
24/11/2015,19,115
24/11/2015,20,77
24/11/2015,21,42
24/11/2015,22,37
24/11/2015,23,23
25/11/2015,0,10
25/11/2015,1,2
25/11/2015,2,5
25/11/2015,5,13
25/11/2015,6,33
25/11/2015,7,156
25/11/2015,8,337
25/11/2015,9,139
25/11/2015,10,61
25/11/2015,11,64
25/11/2015,12,55
25/11/2015,13,56
25/11/2015,14,57
25/11/2015,15,46
25/11/2015,16,100
25/11/2015,17,138
25/11/2015,18,164
25/11/2015,19,117
25/11/2015,20,85
25/11/2015,21,45
25/11/2015,22,37
25/11/2015,23,23
26/11/2015,0,11
26/11/2015,1,6
26/11/2015,2,2
26/11/2015,3,1
26/11/2015,4,1
26/11/2015,5,6
26/11/2015,6,46
26/11/2015,7,140
26/11/2015,8,327
26/11/2015,9,165
26/11/2015,10,71
26/11/2015,11,56
26/11/2015,12,84
26/11/2015,13,97
26/11/2015,14,62
26/11/2015,15,64
26/11/2015,16,84
26/11/2015,17,180
26/11/2015,18,194
26/11/2015,19,107
26/11/2015,20,73
26/11/2015,21,50
26/11/2015,22,32
26/11/2015,23,24
27/11/2015,0,16
27/11/2015,1,3
27/11/2015,2,4
27/11/2015,3,4
27/11/2015,4,1
27/11/2015,5,7
27/11/2015,6,37
27/11/2015,7,101
27/11/2015,8,246
27/11/2015,9,149
27/11/2015,10,70
27/11/2015,11,55
27/11/2015,12,82
27/11/2015,13,62
27/11/2015,14,58
27/11/2015,15,55
27/11/2015,16,72
27/11/2015,17,155
27/11/2015,18,146
27/11/2015,19,77
27/11/2015,20,22
27/11/2015,21,11
27/11/2015,22,24
27/11/2015,23,19
28/11/2015,0,24
28/11/2015,1,8
28/11/2015,2,12
28/11/2015,3,1
28/11/2015,4,2
28/11/2015,6,6
28/11/2015,7,7
28/11/2015,8,31
28/11/2015,9,45
28/11/2015,10,52
28/11/2015,11,67
28/11/2015,12,82
28/11/2015,13,73
28/11/2015,14,71
28/11/2015,15,66
28/11/2015,16,64
28/11/2015,17,47
28/11/2015,18,45
28/11/2015,19,39
28/11/2015,20,20
28/11/2015,21,22
28/11/2015,22,28
28/11/2015,23,21
29/11/2015,0,11
29/11/2015,1,17
29/11/2015,2,13
29/11/2015,3,5
29/11/2015,4,2
29/11/2015,5,3
29/11/2015,6,2
29/11/2015,7,8
29/11/2015,8,10
29/11/2015,9,30
29/11/2015,10,47
29/11/2015,11,45
29/11/2015,12,36
29/11/2015,13,52
29/11/2015,14,64
29/11/2015,15,51
29/11/2015,16,53
29/11/2015,17,31
29/11/2015,18,23
29/11/2015,19,17
29/11/2015,20,12
29/11/2015,21,21
29/11/2015,22,15
29/11/2015,23,11
30/11/2015,0,7
30/11/2015,1,3
30/11/2015,2,1
30/11/2015,3,3
30/11/2015,4,1
30/11/2015,5,5
30/11/2015,6,31
30/11/2015,7,145
30/11/2015,8,278
30/11/2015,9,134
30/11/2015,10,54
30/11/2015,11,37
30/11/2015,12,59
30/11/2015,13,55
30/11/2015,14,45
30/11/2015,15,67
30/11/2015,16,74
30/11/2015,17,164
30/11/2015,18,188
30/11/2015,19,104
30/11/2015,20,85
30/11/2015,21,52
30/11/2015,22,25
30/11/2015,23,16
01/12/2015,0,6
01/12/2015,1,2
01/12/2015,3,1
01/12/2015,4,2
01/12/2015,5,9
01/12/2015,6,53
01/12/2015,7,146
01/12/2015,8,305
01/12/2015,9,159
01/12/2015,10,62
01/12/2015,11,52
01/12/2015,12,78
01/12/2015,13,71
01/12/2015,14,70
01/12/2015,15,65
01/12/2015,16,108
01/12/2015,17,240
01/12/2015,18,225
01/12/2015,19,139
01/12/2015,20,78
01/12/2015,21,52
01/12/2015,22,50
01/12/2015,23,31
02/12/2015,0,11
02/12/2015,1,7
02/12/2015,2,3
02/12/2015,3,2
02/12/2015,4,4
02/12/2015,5,7
02/12/2015,6,58
02/12/2015,7,178
02/12/2015,8,350
02/12/2015,9,168
02/12/2015,10,73
02/12/2015,11,72
02/12/2015,12,72
02/12/2015,13,65
02/12/2015,14,67
02/12/2015,15,55
02/12/2015,16,102
02/12/2015,17,197
02/12/2015,18,210
02/12/2015,19,149
02/12/2015,20,80
02/12/2015,21,53
02/12/2015,22,37
02/12/2015,23,38
03/12/2015,0,3
03/12/2015,2,5
03/12/2015,3,1
03/12/2015,4,1
03/12/2015,5,9
03/12/2015,6,65
03/12/2015,7,153
03/12/2015,8,333
03/12/2015,9,148
03/12/2015,10,68
03/12/2015,11,65
03/12/2015,12,78
03/12/2015,13,84
03/12/2015,14,63
03/12/2015,15,77
03/12/2015,16,77
03/12/2015,17,197
03/12/2015,18,182
03/12/2015,19,83
03/12/2015,20,52
03/12/2015,21,37
03/12/2015,22,32
03/12/2015,23,11
04/12/2015,0,12
04/12/2015,1,4
04/12/2015,2,2
04/12/2015,3,7
04/12/2015,4,1
04/12/2015,5,10
04/12/2015,6,39
04/12/2015,7,108
04/12/2015,8,283
04/12/2015,9,155
04/12/2015,10,64
04/12/2015,11,48
04/12/2015,12,75
04/12/2015,13,73
04/12/2015,14,67
04/12/2015,15,64
04/12/2015,16,85
04/12/2015,17,159
04/12/2015,18,120
04/12/2015,19,84
04/12/2015,20,59
04/12/2015,21,33
04/12/2015,22,27
04/12/2015,23,28
05/12/2015,0,36
05/12/2015,1,18
05/12/2015,2,17
05/12/2015,3,6
05/12/2015,4,3
05/12/2015,5,5
05/12/2015,6,4
05/12/2015,7,9
