Date,Start hour,Annual member hires using a key
11/01/2012,18,709
11/01/2012,19,379
11/01/2012,20,199
11/01/2012,21,118
11/01/2012,22,115
11/01/2012,23,40
12/01/2012,0,13
12/01/2012,1,7
12/01/2012,2,8
12/01/2012,3,3
12/01/2012,4,2
12/01/2012,5,21
12/01/2012,6,156
12/01/2012,7,655
12/01/2012,8,1125
12/01/2012,9,471
12/01/2012,10,196
12/01/2012,11,144
12/01/2012,12,239
12/01/2012,13,252
12/01/2012,14,181
12/01/2012,15,196
12/01/2012,16,309
12/01/2012,17,831
12/01/2012,18,720
12/01/2012,19,380
12/01/2012,20,181
12/01/2012,21,153
12/01/2012,22,78
12/01/2012,23,72
13/01/2012,0,32
13/01/2012,1,8
13/01/2012,2,4
13/01/2012,3,7
13/01/2012,5,14
13/01/2012,6,138
13/01/2012,7,558
13/01/2012,8,1067
13/01/2012,9,476
13/01/2012,10,174
13/01/2012,11,145
13/01/2012,12,274
13/01/2012,13,257
13/01/2012,14,219
13/01/2012,15,216
13/01/2012,16,347
13/01/2012,17,757
13/01/2012,18,558
13/01/2012,19,279
13/01/2012,20,164
13/01/2012,21,76
13/01/2012,22,57
13/01/2012,23,58
14/01/2012,0,41
14/01/2012,1,22
14/01/2012,2,17
14/01/2012,3,10
14/01/2012,4,4
14/01/2012,5,10
14/01/2012,6,12
14/01/2012,7,35
14/01/2012,8,68
14/01/2012,9,109
14/01/2012,10,156
14/01/2012,11,216
14/01/2012,12,230
14/01/2012,13,227
14/01/2012,14,243
14/01/2012,15,210
14/01/2012,16,193
14/01/2012,17,184
14/01/2012,18,153
14/01/2012,19,117
14/01/2012,20,87
14/01/2012,21,55
14/01/2012,22,48
14/01/2012,23,49
15/01/2012,0,49
15/01/2012,1,28
15/01/2012,2,31
15/01/2012,3,13
15/01/2012,4,8
15/01/2012,5,6
15/01/2012,6,10
15/01/2012,7,13
15/01/2012,8,38
15/01/2012,9,91
15/01/2012,10,158
15/01/2012,11,167
15/01/2012,12,246
15/01/2012,13,212
15/01/2012,14,201
15/01/2012,15,202
15/01/2012,16,177
15/01/2012,17,146
15/01/2012,18,141
15/01/2012,19,78
15/01/2012,20,63
15/01/2012,21,39
15/01/2012,22,52
15/01/2012,23,21
16/01/2012,0,15
16/01/2012,1,1
16/01/2012,2,4
16/01/2012,3,4
16/01/2012,4,2
16/01/2012,5,17
16/01/2012,6,137
16/01/2012,7,553
16/01/2012,8,1091
16/01/2012,9,457
16/01/2012,10,150
16/01/2012,11,149
16/01/2012,12,198
16/01/2012,13,202
16/01/2012,14,165
16/01/2012,15,199
16/01/2012,16,368
16/01/2012,17,898
16/01/2012,18,695
16/01/2012,19,363
16/01/2012,20,157
16/01/2012,21,98
16/01/2012,22,75
16/01/2012,23,35
17/01/2012,0,11
17/01/2012,1,8
17/01/2012,2,4
17/01/2012,4,3
17/01/2012,5,18
17/01/2012,6,141
17/01/2012,7,598
17/01/2012,8,1114
17/01/2012,9,512
17/01/2012,10,174
17/01/2012,11,149
17/01/2012,12,215
17/01/2012,13,229
17/01/2012,14,177
17/01/2012,15,202
17/01/2012,16,332
17/01/2012,17,867
17/01/2012,18,687
17/01/2012,19,363
17/01/2012,20,171
17/01/2012,21,119
17/01/2012,22,67
17/01/2012,23,46
18/01/2012,0,14
18/01/2012,1,5
18/01/2012,2,4
18/01/2012,3,1
18/01/2012,4,1
18/01/2012,5,16
18/01/2012,6,127
18/01/2012,7,576
18/01/2012,8,942
18/01/2012,9,357
18/01/2012,10,123
18/01/2012,11,135
18/01/2012,12,208
18/01/2012,13,205
18/01/2012,14,163
18/01/2012,15,196
18/01/2012,16,360
18/01/2012,17,819
18/01/2012,18,663
18/01/2012,19,338
18/01/2012,20,222
18/01/2012,21,124
18/01/2012,22,87
18/01/2012,23,48
19/01/2012,0,21
19/01/2012,1,2
19/01/2012,2,3
19/01/2012,3,3
19/01/2012,4,2
19/01/2012,5,14
19/01/2012,6,74
19/01/2012,7,273
19/01/2012,8,427
19/01/2012,9,264
19/01/2012,10,141
19/01/2012,11,117
19/01/2012,12,221
19/01/2012,13,233
19/01/2012,14,212
19/01/2012,15,202
19/01/2012,16,338
19/01/2012,17,741
19/01/2012,18,646
19/01/2012,19,329
19/01/2012,20,167
19/01/2012,21,111
19/01/2012,22,60
19/01/2012,23,64
20/01/2012,0,23
20/01/2012,1,9
20/01/2012,2,5
20/01/2012,3,5
20/01/2012,4,8
20/01/2012,5,22
20/01/2012,6,142
20/01/2012,7,566
20/01/2012,8,1054
20/01/2012,9,434
20/01/2012,10,180
20/01/2012,11,146
20/01/2012,12,176
20/01/2012,13,167
20/01/2012,14,177
20/01/2012,15,190
20/01/2012,16,389
20/01/2012,17,825
20/01/2012,18,584
20/01/2012,19,293
20/01/2012,20,141
20/01/2012,21,92
20/01/2012,22,77
20/01/2012,23,79
21/01/2012,0,47
21/01/2012,1,36
21/01/2012,2,18
21/01/2012,3,9
21/01/2012,4,9
21/01/2012,5,12
21/01/2012,6,20
21/01/2012,7,39
21/01/2012,8,72
21/01/2012,9,130
21/01/2012,10,186
