Ozone,NO,NO2,NOX,SO2,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
58,40,80,138,3,19,18,5,11,10,5
62,21,73,101,0,21,17,6,18,14,5
66,32,69,115,3,23,18,7,19,17,6
70,21,78,107,0,34,31,6,15,12,5
38,75,98,212,3,29,20,9,18,15,7
44,20,46,77,0,20,15,6,11,9,4
72,65,88,186,5,28,26,5,12,10,3
62,36,75,126,3,22,19,6,17,14,4
100,16,90,101,0,28,25,8,18,15,6
76,9,78,92,8,21,20,5,14,8,6
32,85,98,210,5,30,27,5,16,12,4
50,101,92,247,5,30,26,5,15,13,5
74,25,92,126,11,36,28,11,29,20,10
60,54,88,168,19,47,36,11,38,29,11
48,44,71,136,3,48,38,10,32,24,9
66,34,69,119,0,22,17,7,18,14,7
66,54,88,170,3,37,31,8,35,28,7
66,45,98,151,3,47,44,9,39,33,9
80,29,78,120,3,57,51,10,53,47,9
58,40,101,151,0,76,61,16,69,53,16
98,37,82,138,3,69,53,16,65,48,17
128,14,67,78,5,38,33,10,32,25,7
136,14,75,82,8,40,38,7,28,25,8
118,42,103,166,5,57,52,10,35,28,8
72,26,78,105,3,40,33,10,35,27,9
86,27,63,105,5,73,68,10,38,29,11
48,19,71,94,5,26,21,7,20,16,6
56,29,73,113,3,32,26,9,30,23,9
42,34,78,122,32,27,18,10,24,15,9
52,21,73,101,3,23,17,8,20,14,8
62,26,73,113,3,22,19,5,17,14,4
76,66,73,172,3,24,21,7,22,18,6
50,7,38,50,3,45,42,17,19,12,7
54,20,63,90,3,22,19,6,14,11,6
60,7,38,48,3,18,18,3,15,14,4
72,10,57,59,3,23,21,4,13,10,4
72,20,57,88,3,18,16,6,17,13,5
50,59,78,168,3,27,24,5,26,22,5
58,57,92,180,3,21,19,3,19,16,4
58,34,69,120,5,26,24,5,22,20,5
62,45,78,145,13,40,35,5,19,16,8
62,7,50,57,3,23,22,6,16,14,5
78,4,38,40,0,44,43,6,17,12,5
84,6,48,57,3,15,12,4,12,10,6
82,34,63,111,13,18,15,4,13,10,6
86,32,82,120,8,22,20,8,16,13,5
80,79,90,210,5,31,29,5,29,26,7
74,29,78,122,3,31,26,12,29,27,9
62,5,36,44,3,21,21,3,17,15,5
62,4,40,44,3,19,15,5,14,10,5
56,37,54,105,3,13,12,6,11,9,6
62,52,69,142,5,36,30,6,17,12,6
52,20,63,94,13,16,17,2,20,24,7
20,,,,3,25,25,6,18,16,9
62,,,,13,51,47,5,25,28,6
66,,,,3,20,18,3,16,11,5
76,,,,3,17,15,3,13,10,4
56,,,,3,18,16,2,14,13,4
50,,,,3,15,13,4,14,10,5
28,,,,3,13,12,3,12,10,5
32,,,,3,16,13,3,15,13,4
64,,,,3,21,18,4,17,13,6
46,,,,5,20,18,3,20,16,6
52,,,,3,20,19,4,14,10,5
36,,,,5,19,18,4,19,16,6
32,,,,3,21,18,4,22,18,5
44,,,,8,19,16,4,17,13,4
38,,,,11,28,25,3,12,10,4
42,,,,5,20,17,5,12,9,7
48,,,,3,24,21,4,15,12,5
34,,,,3,17,15,2,17,15,4
60,,,,5,28,23,5,18,14,4
,,,,,,,,,,
,,,,,,,,,,
30,22,44,77,3,23,18,6,15,9,9
50,36,65,117,8,21,19,3,13,10,5
32,52,65,142,3,21,21,5,24,17,7
54,41,61,109,3,18,17,5,22,17,5
96,5,78,84,3,26,23,5,19,13,7
106,20,80,111,5,20,16,5,21,15,7
138,52,117,197,37,29,26,6,25,20,7
156,86,142,262,5,40,36,5,35,32,12
134,16,101,111,3,39,31,10,35,25,10
74,107,113,251,11,44,35,11,47,35,12
74,29,57,99,3,18,16,5,13,9,5
56,12,57,63,0,29,27,3,14,10,6
70,20,50,80,0,16,14,5,12,10,4
50,20,67,98,0,21,19,4,21,16,6
56,32,71,113,3,37,33,6,20,16,6
46,6,36,40,0,30,32,8,14,13,5
58,19,48,71,0,18,14,5,15,12,5
52,9,52,59,0,17,14,4,15,11,7
56,9,46,52,3,15,12,5,13,11,5
62,21,55,88,3,16,13,4,14,12,4
50,27,52,88,0,13,12,4,13,9,5
52,35,84,138,3,17,14,5,15,13,5
88,62,86,166,3,33,30,6,26,23,7
90,101,111,241,3,36,32,9,37,32,8
72,45,88,147,8,33,24,10,33,24,10
114,20,71,96,5,34,27,9,34,23,12
52,17,52,78,3,15,11,5,15,11,6
58,14,55,63,3,20,15,6,14,11,6
54,54,82,164,51,35,28,10,38,35,11
46,7,50,57,0,19,16,6,17,14,6
76,7,69,73,3,28,17,12,20,16,8
70,7,61,73,3,,,,,,
120,36,63,109,3,,,,,,
72,19,69,82,3,22,20,5,17,12,10
50,45,73,136,3,20,16,6,19,15,6
58,12,57,63,3,17,15,5,15,13,5
74,34,57,109,3,14,13,4,15,12,6
62,9,52,61,3,32,29,5,17,14,6
52,5,50,54,3,15,12,3,12,9,6
68,47,52,119,3,17,18,6,15,12,4
64,12,46,65,3,25,23,6,14,11,7
62,10,50,63,0,16,14,4,15,12,6
52,11,52,69,3,25,24,5,15,12,8
46,76,75,191,3,17,16,4,12,9,4
38,56,84,163,3,18,17,5,17,14,6
46,10,54,63,0,26,26,7,17,13,6
30,12,48,63,0,18,14,4,17,13,5
40,75,96,189,3,22,22,8,22,20,7
22,54,73,147,13,46,39,7,28,24,7
38,65,80,178,5,22,20,4,20,16,4
68,186,130,415,13,33,30,5,31,27,6
54,50,119,191,27,30,27,10,28,25,7
92,232,187,543,13,42,40,8,42,37,10
122,182,161,438,11,47,43,7,46,41,12
68,11,46,63,3,16,12,5,15,11,7
62,74,92,205,11,12,11,4,11,7,5
40,44,75,142,3,23,22,3,18,15,6
52,61,86,180,8,18,15,5,15,11,4
56,99,101,252,5,20,14,6,15,9,6
62,40,73,132,3,20,20,6,18,18,5
48,4,52,54,3,22,18,4,16,13,5
50,19,57,86,3,15,13,6,14,11,6
48,44,84,147,8,14,11,5,10,9,5
32,67,98,201,8,14,12,7,12,11,4
46,20,69,98,3,14,12,5,14,10,5
28,57,90,166,24,15,18,6,18,17,6
44,52,86,145,3,18,15,5,18,14,5
34,45,78,140,5,25,16,9,30,17,20
46,104,84,243,5,32,23,12,30,22,12
50,19,65,84,3,13,11,5,12,9,4
40,178,99,373,8,23,21,4,22,21,4
34,65,120,189,5,19,17,4,19,16,4
42,22,71,103,0,15,12,5,16,13,6
38,75,128,224,5,22,19,5,20,18,5
54,17,71,98,3,21,16,5,18,14,5
56,34,78,130,0,15,13,5,14,11,5
46,19,61,90,0,16,12,6,15,10,6
44,37,96,147,0,18,14,6,13,11,5
40,61,73,164,3,20,16,6,18,15,7
52,51,92,168,3,18,13,7,14,9,7
48,221,117,455,11,33,29,5,27,26,5
16,84,78,207,3,26,22,9,26,24,7
18,94,88,222,3,30,20,10,25,18,8
20,95,96,222,11,30,22,9,27,21,9
28,140,98,312,43,23,20,5,19,18,6
20,165,90,342,16,41,34,10,38,33,8
38,22,69,98,13,15,12,6,13,11,5
30,67,96,184,11,15,11,5,13,9,5
30,50,78,153,11,17,13,5,14,12,6
38,75,77,187,11,23,18,6,22,16,7
58,34,80,132,5,20,17,5,16,13,5
52,19,84,111,3,18,14,7,17,16,6
56,22,82,117,0,17,15,7,15,14,4
30,123,82,272,5,20,18,6,27,23,6
22,99,82,226,8,25,20,7,21,18,6
28,72,69,172,3,16,12,6,15,11,6
24,100,65,218,5,40,30,10,42,34,9
12,127,59,251,8,46,35,11,48,39,12
2,101,71,214,11,78,65,15,88,73,16
42,74,69,178,3,24,17,9,23,15,13
52,66,80,180,3,18,13,5,15,11,5
54,42,75,136,3,17,14,5,16,14,5
30,19,57,82,0,17,11,6,15,12,5
30,76,107,205,3,18,13,5,19,14,6
32,72,84,191,13,20,16,7,23,17,7
