Ozone,NO,NO2,NOX,SO2,CO,PM10,NV_PM10,V_PM10,PM2.5,NV_PM2.5,V_PM2.5
71,2,25,28,0,0.26,17,10,7,8,4,4
65,2,26,29,1,0.28,,,,7,4,3
32,6,45,54,3,0.34,,,,12,8,3
48,6,41,50,4,0.24,,,,14,10,4
65,2,28,32,0,0.17,,,,9,6,2
66,2,24,27,3,0.22,,,,8,6,2
55,5,33,41,0,0.2,,,,8,5,3
66,3,31,36,0,0.23,,,,13,10,3
72,2,29,33,0,0.21,,,,10,6,3
91,1,17,19,0,0.15,,,,8,8,1
69,3,34,39,0,0.22,,,,10,8,2
60,3,25,30,3,0.19,,,,12,7,5
68,3,23,28,3,0.21,,,,9,6,3
77,4,31,38,1,0.19,,,,11,8,3
54,9,41,55,1,0.28,,,,20,15,5
56,4,29,35,0,0.23,,,,23,17,6
57,4,33,39,3,0.2,,,,13,8,4
56,5,34,42,0,0.2,,,,15,10,4
75,2,20,24,3,0.12,,,,10,6,4
65,4,33,39,3,0.18,,,,11,8,3
56,4,38,44,0,0.25,,,,15,11,4
70,2,27,31,0,0.24,,,,12,8,4
40,6,32,41,0,0.27,,,,13,9,4
41,3,18,23,0,0.2,,,,8,6,3
76,2,16,20,1,0.14,,,,7,6,1
73,2,25,28,0,0.14,,,,10,7,2
72,4,29,36,2,0.18,,,,15,11,5
68,2,27,30,3,0.18,,,,10,7,3
48,4,32,38,2,0.18,,,,8,6,2
55,5,29,37,2,0.16,,,,10,8,2
63,3,37,42,4,0.18,,,,15,10,5
57,6,33,42,2,0.27,,,,21,14,6
,2,22,25,3,0.23,,,,23,17,6
,1,14,16,3,0.18,,,,13,9,4
,3,23,28,3,0.2,,,,21,17,5
,3,30,35,0,0.29,,,,30,24,5
68,2,30,34,0,0.3,,,,35,30,6
58,4,38,44,3,0.34,,,,42,32,10
80,4,33,39,6,0.25,,,,29,20,9
96,2,27,30,1,0.23,,,,22,16,6
93,2,35,38,3,0.26,,,,22,17,5
75,6,41,50,2,0.28,,,,26,19,8
56,3,38,43,2,0.26,,,,26,19,7
61,3,23,27,0,0.24,,,,23,17,7
43,2,23,27,2,0.23,,,,17,11,6
38,4,29,35,3,0.26,13,10,3,,,
47,5,36,43,6,0.23,17,12,4,,,
52,2,34,38,3,0.23,10,8,3,,,
52,5,20,28,0,0.17,6,7,0,,,
43,15,30,53,3,0.26,12,10,2,,,
47,2,17,20,0,0.24,9,9,0,,,
44,4,24,29,0,0.2,10,9,1,,,
62,1,12,14,0,0.15,9,10,-1,,,
65,1,13,14,3,0.13,7,7,0,,,
52,2,26,30,0,0.2,10,9,1,,,
45,4,26,33,0,0.22,,,,,,
52,4,28,34,0,0.15,8,8,0,,,
40,7,40,50,1,0.18,10,9,1,,,
43,7,45,56,4,0.19,17,15,2,,,
60,2,19,22,3,0.16,12,10,2,,,
74,1,11,12,3,0.12,13,12,1,,,
75,1,12,13,1,0.12,9,8,1,,,
63,2,22,26,3,0.15,,,,,,
60,2,28,32,4,0.15,,,,,,
50,13,52,72,3,0.22,,,,,,
56,4,30,36,3,0.22,,,,,,
62,1,15,17,3,0.14,,,,,,
57,1,14,15,2,0.13,,,,,,
56,1,13,14,3,0.15,,,,,,
49,2,23,26,4,0.18,,,,,,
41,3,23,28,5,0.18,,,,8,7,2
12,12,24,42,0,0.28,12,10,2,8,7,2
38,12,28,47,0,0.27,18,16,2,10,8,2
58,2,16,19,0,0.17,14,13,1,7,6,1
60,1,12,13,0,0.14,10,9,1,6,5,1
55,1,11,12,0,0.12,10,9,0,4,4,0
44,2,21,25,3,0.19,10,9,1,4,4,0
33,3,21,27,3,0.2,7,5,2,5,4,1
29,4,20,26,1,0.23,7,5,1,5,3,2
45,2,24,28,2,0.2,11,10,1,,,
37,5,30,38,3,0.25,13,11,2,,,
45,2,24,28,2,0.18,9,8,2,,,
40,2,27,31,2,0.26,10,9,2,,,
32,3,27,32,2,0.25,13,11,2,,,
39,4,23,29,2,0.16,9,8,2,,,
34,4,24,30,3,0.15,8,7,1,,,
37,4,21,28,3,0.15,7,6,2,,,
41,3,18,23,0,0.19,9,7,2,,,
40,2,22,26,3,0.18,10,9,1,,,
48,1,19,20,2,0.14,9,8,1,,,
33,3,19,24,1,0.16,9,8,1,,,
28,4,19,25,2,0.17,11,10,1,7,6,1
25,7,20,30,3,0.17,8,6,2,5,3,2
37,3,19,24,3,0.12,11,8,3,6,5,1
34,5,25,33,0,0.14,10,8,2,8,6,2
45,3,25,30,0,0.14,13,11,1,8,6,1
70,1,18,20,0,0.15,12,10,2,9,7,2
76,2,26,30,1,0.17,14,12,2,10,8,2
90,5,40,48,2,0.26,20,18,2,14,12,2
94,10,54,69,3,0.3,25,23,2,17,15,2
98,4,51,57,3,0.22,30,26,5,22,18,4
51,7,47,58,4,0.26,34,27,7,24,18,6
61,1,19,22,3,0.23,10,9,2,6,4,2
50,2,21,24,1,0.14,8,7,1,4,3,1
55,3,23,28,1,0.23,9,8,1,5,4,1
44,4,25,32,1,0.2,13,11,2,8,7,2
36,6,27,37,3,0.25,16,13,2,10,8,2
47,3,14,18,2,0.15,14,11,2,6,6,1
47,4,16,22,2,0.17,13,11,2,6,5,1
48,4,15,21,3,0.2,13,10,3,6,4,1
45,5,17,24,3,0.22,12,9,2,6,5,1
42,5,23,31,5,0.19,11,10,1,6,6,1
38,7,25,36,2,0.17,9,8,1,5,4,1
36,8,27,40,2,0.26,11,9,2,7,6,1
58,22,41,76,3,0.29,21,18,3,15,13,2
65,10,50,66,0,0.3,27,22,6,21,17,4
68,5,40,48,1,0.23,25,19,6,17,13,5
69,4,27,34,1,0.26,25,19,5,16,12,4
,,,,,,11,8,3,6,5,1
,,,,,,11,8,3,6,5,2
30,12,41,59,4,0.35,24,19,5,15,12,3
45,4,17,24,3,0.16,18,16,2,9,8,1
51,5,26,34,0,0.2,13,12,2,8,7,1
47,3,26,30,3,0.26,14,12,2,9,8,1
52,5,26,33,2,0.28,15,12,2,10,9,1
39,2,25,29,3,0.21,11,9,2,8,6,1
26,16,36,60,1,0.23,21,18,3,14,12,2
44,2,19,23,3,0.13,14,12,2,6,5,1
41,4,25,31,0,0.25,13,10,2,7,5,2
49,2,23,27,0,0.33,14,11,3,9,7,2
44,2,15,18,0,0.34,8,6,2,4,3,1
48,1,20,22,0,0.22,11,9,1,6,6,0
48,1,20,21,0,0.24,12,9,2,7,5,2
48,2,20,24,0,0.28,12,11,1,6,6,0
40,1,23,26,0,0.15,15,12,3,7,5,2
40,3,22,27,3,0.15,14,13,1,6,6,0
35,5,31,39,3,0.24,14,12,1,7,6,1
38,2,23,27,0,0.28,13,11,2,7,6,2
24,3,25,30,3,0.3,13,11,2,8,7,1
24,21,38,70,1,0.26,16,13,4,11,9,2
19,13,34,54,5,0.21,19,15,4,13,11,2
42,4,31,38,1,0.15,20,18,2,10,9,1
35,32,45,95,1,0.25,23,20,3,13,12,2
32,18,50,77,3,0.25,26,22,4,15,13,2
34,22,53,87,4,0.31,23,20,4,16,13,2
62,31,44,92,4,0.51,28,24,4,21,18,3
58,1,14,16,3,0.16,11,8,3,6,4,1
54,1,21,23,3,0.12,9,7,2,3,3,0
32,6,30,40,2,0.27,,,,4,4,0
36,5,30,38,2,0.3,,,,7,6,1
45,2,20,23,2,0.23,,,,5,4,1
32,6,36,46,3,0.28,,,,10,9,1
39,1,18,19,0,0.24,,,,6,4,1
45,2,20,24,0,0.13,,,,6,5,1
45,2,20,23,0,0.22,,,,4,4,0
30,6,34,44,3,0.23,10,9,1,5,5,0
31,5,36,43,0,0.26,11,10,1,7,5,1
29,7,39,50,2,0.28,12,11,2,7,6,1
37,5,32,40,0,0.26,11,9,1,7,5,2
23,6,44,53,0,0.34,15,10,5,10,6,4
25,14,35,57,3,0.38,17,12,5,12,8,4
44,3,23,27,2,0.26,9,8,1,5,4,2
25,27,42,83,2,0.3,11,10,1,8,7,1
32,6,35,45,1,0.18,12,11,1,8,7,0
27,5,38,45,0,0.19,10,8,2,5,4,1
28,12,36,54,1,0.29,14,13,1,8,7,0
41,5,24,33,0,0.26,14,12,2,7,6,2
35,4,28,33,0,0.2,9,6,2,6,4,2
45,3,22,26,2,0.14,11,8,3,4,3,1
37,4,30,37,3,0.16,10,8,2,5,4,1
32,14,33,54,3,0.16,11,9,2,5,4,1
40,3,31,36,3,0.16,7,5,2,4,3,1
38,26,37,77,3,0.28,10,9,1,7,7,1
8,44,47,115,1,0.27,23,19,3,19,16,3
11,19,51,80,0,0.27,18,13,5,14,10,4
24,10,47,63,0,0.22,20,15,4,14,10,4
23,16,59,84,4,0.2,21,21,1,12,11,2
10,36,47,102,2,0.32,25,21,4,17,14,3
37,3,29,34,1,0.15,8,8,0,5,4,1
24,10,39,54,1,0.16,10,8,2,6,5,1
20,16,40,65,1,0.2,12,10,2,10,8,1
22,19,42,71,1,0.22,14,11,3,9,7,2
44,3,31,36,0,0.16,14,13,1,6,5,1
46,3,30,34,0,0.18,13,11,2,6,5,1
47,2,28,31,0,0.18,11,9,1,5,5,0
7,28,56,99,2,0.32,14,11,2,8,7,1
11,17,47,73,1,0.32,18,14,4,12,10,1
32,3,27,32,0,0.2,10,7,3,6,4,2
8,28,33,76,1,0.35,33,26,7,24,19,4
8,16,34,59,1,0.22,30,22,8,24,19,6
2,28,42,85,4,0.33,65,53,12,53,44,9
28,6,28,38,2,0.19,14,9,6,9,4,5
49,3,23,28,2,0.37,11,8,2,5,3,2
45,5,26,34,2,0.38,10,9,1,5,5,1
20,4,38,45,3,0.24,13,10,3,7,6,1
22,9,47,61,3,0.21,12,9,3,7,5,2
12,23,54,88,4,0.37,17,13,4,13,9,3
43,3,31,36,0,0.2,13,9,4,7,5,2
41,4,36,42,1,0.27,7,4,3,5,4,1
34,8,42,55,0,0.3,10,9,1,6,6,0
24,8,50,62,0,0.34,20,18,2,15,14,1
20,23,56,91,1,0.28,19,15,4,16,14,2
19,51,53,131,2,0.34,32,30,2,26,25,1
11,42,57,122,2,0.43,32,29,4,27,24,3
17,15,46,69,0,0.28,,,,9,7,2
25,10,47,63,2,0.28,12,11,1,8,6,2
29,8,45,56,2,0.2,14,12,3,10,7,3
26,12,45,63,3,0.29,18,16,2,14,12,2
12,41,58,120,3,0.48,32,29,3,28,25,2
14,16,54,77,1,0.36,18,14,4,12,10,2
28,7,41,52,0,0.46,17,14,3,9,8,1
19,24,50,87,4,0.37,23,18,5,18,13,5
5,64,57,154,4,0.28,43,32,11,37,27,9
7,30,49,95,1,0.23,42,31,12,37,26,11
15,9,39,53,3,0.28,20,15,5,15,11,4
12,23,61,97,3,0.33,19,16,3,16,12,4
37,7,37,48,3,0.2,14,11,3,9,6,3
46,1,25,27,2,0.25,12,9,3,6,5,1
19,8,45,57,3,0.25,15,12,3,10,8,2
